n,c,s,c/n,s/n
1000,10045.46,7876.62,10.04,7.87
2000,22770.63,18398.27,11.38,9.19
3000,36228.62,29289.13,12.07,9.76
4000,50346.93,40905.24,12.58,10.22
5000,65381.74,53173.03,13.07,10.63
6000,79789.46,66006.77,13.29,11.00
7000,94604.81,77163.23,13.51,11.02
8000,110894.59,90354.95,13.86,11.29
9000,126320.39,103498.99,14.03,11.49
10000,142950.15,118167.78,14.29,11.81
11000,158313.21,130357.61,14.39,11.85
12000,175297.98,142625.60,14.60,11.88
13000,191897.38,157786.22,14.76,12.13
14000,207484.97,171311.22,14.82,12.23
15000,225982.77,185102.61,15.06,12.34
16000,241396.90,198658.03,15.08,12.41
17000,258089.73,213374.87,15.18,12.55
18000,275629.82,228270.79,15.31,12.68
19000,292440.80,239958.00,15.39,12.62
20000,310444.58,256702.65,15.52,12.83
21000,328330.46,273148.06,15.63,13.00
22000,345019.16,287689.36,15.68,13.07
23000,361939.62,302034.40,15.73,13.13
24000,380875.07,318088.08,15.86,13.25
25000,397161.92,326796.93,15.88,13.07
26000,415152.98,345067.24,15.96,13.27
27000,434404.86,362629.02,16.08,13.43
28000,450474.99,376297.05,16.08,13.43
29000,467329.24,390557.43,16.11,13.46
30000,487651.70,404352.43,16.25,13.47
31000,503492.50,418650.81,16.24,13.50
32000,523752.82,432441.27,16.36,13.51
33000,540761.13,454385.87,16.38,13.76
34000,562278.47,468909.36,16.53,13.79
35000,581284.50,478437.41,16.60,13.66
36000,594277.42,496638.48,16.50,13.79
37000,614938.87,511856.95,16.61,13.83
38000,632795.88,523747.57,16.65,13.78
39000,651676.10,540394.49,16.70,13.85
40000,670977.70,552652.88,16.77,13.81
41000,688975.01,573723.08,16.80,13.99
42000,708137.36,586204.71,16.86,13.95
43000,726015.34,604530.36,16.88,14.05
44000,745257.29,618967.36,16.93,14.06
45000,766042.41,637913.76,17.02,14.17
46000,784665.00,654940.49,17.05,14.23
47000,801435.26,667018.12,17.05,14.19
48000,821373.02,679282.16,17.11,14.15
49000,838718.62,702227.09,17.11,14.33
50000,859838.58,711424.44,17.19,14.22
