n,c,s,c/n,s/n
1000,12233.86,3003.89,12.23,3.00
2000,27023.67,6482.86,13.51,3.24
3000,43185.54,10116.07,14.39,3.37
4000,60121.74,13870.00,15.03,3.46
5000,77719.71,17722.40,15.54,3.54
6000,95284.49,21613.15,15.88,3.60
7000,113540.03,25591.61,16.22,3.65
8000,130997.67,29585.30,16.37,3.69
9000,148664.99,33687.01,16.51,3.74
10000,169392.29,37699.93,16.93,3.76
11000,187545.97,41910.92,17.04,3.81
12000,206448.92,46036.34,17.20,3.83
13000,227000.25,50181.95,17.46,3.86
14000,245190.29,54378.19,17.51,3.88
15000,265413.35,58600.76,17.69,3.90
16000,284466.99,62931.37,17.77,3.93
17000,304456.43,67182.60,17.90,3.95
18000,324025.89,71464.87,18.00,3.97
19000,344907.00,75746.62,18.15,3.98
20000,364025.66,80139.98,18.20,4.00
21000,383416.59,84478.47,18.25,4.02
22000,404827.32,88809.77,18.40,4.03
23000,425971.20,93145.76,18.52,4.04
24000,445577.27,97543.19,18.56,4.06
25000,468689.38,101978.92,18.74,4.07
26000,489126.90,106400.44,18.81,4.09
27000,512451.76,110735.74,18.97,4.10
28000,527951.52,115394.22,18.85,4.12
29000,549717.58,119819.50,18.95,4.13
30000,568940.95,124283.40,18.96,4.14
31000,595711.48,128624.79,19.21,4.14
32000,613477.43,133234.36,19.17,4.16
33000,636050.69,137648.65,19.27,4.17
34000,656515.88,142174.92,19.30,4.18
35000,677640.99,146702.72,19.36,4.19
36000,697155.97,151313.06,19.36,4.20
37000,721735.85,155711.22,19.50,4.20
38000,740386.41,160390.20,19.48,4.22
39000,760454.33,164919.06,19.49,4.22
40000,785963.63,169401.64,19.64,4.23
41000,809115.71,173974.45,19.73,4.24
42000,824235.16,178666.97,19.62,4.25
43000,849719.56,183280.03,19.76,4.26
44000,871913.76,187822.54,19.81,4.26
45000,891131.07,192536.34,19.80,4.27
46000,913211.27,197066.25,19.85,4.28
47000,939445.12,201531.82,19.98,4.28
48000,960296.24,206313.50,20.00,4.29
49000,986682.10,210739.53,20.13,4.30
50000,1004868.07,215432.93,20.09,4.30
