n,c,s,c/n,s/n
1000,8705.80,0,8.70,0
2000,19414.18,0,9.70,0
3000,30920.89,0,10.30,0
4000,42820.14,0,10.70,0
5000,55230.24,0,11.04,0
6000,67836.26,0,11.30,0
7000,80677.11,0,11.52,0
8000,93645.34,0,11.70,0
9000,106979.12,0,11.88,0
10000,120440.14,0,12.04,0
11000,134031.97,0,12.18,0
12000,147682.73,0,12.30,0
13000,161493.39,0,12.42,0
14000,175361.31,0,12.52,0
15000,189297.21,0,12.61,0
16000,203290.81,0,12.70,0
17000,217529.17,0,12.79,0
18000,231965.57,0,12.88,0
19000,246401.93,0,12.96,0
20000,260911.17,0,13.04,0
21000,275446.98,0,13.11,0
22000,290075.79,0,13.18,0
23000,304692.33,0,13.24,0
24000,319362.38,0,13.30,0
25000,334093.78,0,13.36,0
26000,348937.84,0,13.42,0
27000,363810.06,0,13.47,0
28000,378723.29,0,13.52,0
29000,393609.65,0,13.57,0
30000,408616.15,0,13.62,0
31000,423574.32,0,13.66,0
32000,438556.02,0,13.70,0
33000,453657.99,0,13.74,0
34000,469055.07,0,13.79,0
35000,484460.27,0,13.84,0
36000,499888.86,0,13.88,0
37000,515344.88,0,13.92,0
38000,530811.02,0,13.96,0
39000,546299.92,0,14.00,0
40000,561795.61,0,14.04,0
41000,577322.69,0,14.08,0
42000,592906.67,0,14.11,0
43000,608487.54,0,14.15,0
44000,624115.20,0,14.18,0
45000,639740.92,0,14.21,0
46000,655369.80,0,14.24,0
47000,671026.31,0,14.27,0
48000,686705.88,0,14.30,0
49000,702359.91,0,14.33,0
50000,718175.88,0,14.36,0
