n,c,s,c/n,s/n
1000,9272.74,0,9.27,0
2000,20543.26,0,10.27,0
3000,32689.50,0,10.89,0
4000,45096.16,0,11.27,0
5000,58157.24,0,11.63,0
6000,71374.20,0,11.89,0
7000,84757.91,0,12.10,0
8000,98201.31,0,12.27,0
9000,112191.05,0,12.46,0
10000,126343.64,0,12.63,0
11000,140552.19,0,12.77,0
12000,154800.90,0,12.90,0
13000,169152.50,0,13.01,0
14000,183546.15,0,13.11,0
15000,197978.95,0,13.19,0
16000,212428.30,0,13.27,0
17000,227296.60,0,13.37,0
18000,242406.31,0,13.46,0
19000,257554.88,0,13.55,0
20000,272690.57,0,13.63,0
21000,287893.31,0,13.70,0
22000,303121.77,0,13.77,0
23000,318341.19,0,13.84,0
24000,333610.94,0,13.90,0
25000,348929.51,0,13.95,0
26000,364283.87,0,14.01,0
27000,379683.45,0,14.06,0
28000,395115.72,0,14.11,0
29000,410542.05,0,14.15,0
30000,425992.33,0,14.19,0
31000,441444.69,0,14.24,0
32000,456899.23,0,14.27,0
33000,472505.88,0,14.31,0
34000,488642.26,0,14.37,0
35000,504764.08,0,14.42,0
36000,520886.42,0,14.46,0
37000,537003.69,0,14.51,0
38000,553159.40,0,14.55,0
39000,569303.06,0,14.59,0
40000,585467.35,0,14.63,0
41000,601642.12,0,14.67,0
42000,617859.84,0,14.71,0
43000,634081.30,0,14.74,0
44000,650321.24,0,14.78,0
45000,666536.46,0,14.81,0
46000,682818.19,0,14.84,0
47000,699049.49,0,14.87,0
48000,715300.98,0,14.90,0
49000,731566.99,0,14.92,0
50000,747907.48,0,14.95,0
