n,c,s,c/n,s/n
1000,8703.71,0,8.70,0
2000,19414.15,0,9.70,0
3000,30918.62,0,10.30,0
4000,42821.07,0,10.70,0
5000,55228.55,0,11.04,0
6000,67842.63,0,11.30,0
7000,80678.66,0,11.52,0
8000,93640.72,0,11.70,0
9000,106985.90,0,11.88,0
10000,120442.18,0,12.04,0
11000,134035.01,0,12.18,0
12000,147680.28,0,12.30,0
13000,161472.92,0,12.42,0
14000,175343.41,0,12.52,0
15000,189289.08,0,12.61,0
16000,203275.47,0,12.70,0
17000,217527.56,0,12.79,0
18000,231957.54,0,12.88,0
19000,246414.56,0,12.96,0
20000,260909.20,0,13.04,0
21000,275435.18,0,13.11,0
22000,290068.41,0,13.18,0
23000,304707.86,0,13.24,0
24000,319343.22,0,13.30,0
25000,334080.32,0,13.36,0
26000,348938.49,0,13.42,0
27000,363817.95,0,13.47,0
28000,378721.08,0,13.52,0
29000,393632.82,0,13.57,0
30000,408589.24,0,13.61,0
31000,423567.72,0,13.66,0
32000,438585.16,0,13.70,0
33000,453662.15,0,13.74,0
34000,469061.19,0,13.79,0
35000,484476.64,0,13.84,0
36000,499900.87,0,13.88,0
37000,515327.05,0,13.92,0
38000,530816.49,0,13.96,0
39000,546316.77,0,14.00,0
40000,561815.90,0,14.04,0
41000,577291.34,0,14.08,0
42000,592884.70,0,14.11,0
43000,608501.68,0,14.15,0
44000,624142.03,0,14.18,0
45000,639752.35,0,14.21,0
46000,655384.77,0,14.24,0
47000,671029.89,0,14.27,0
48000,686693.78,0,14.30,0
49000,702342.91,0,14.33,0
50000,718182.91,0,14.36,0
