n,c,s,c/n,s/n
1000,14448.75,2410.72,14.44,2.41
2000,31553.93,5303.86,15.77,2.65
3000,49743.47,8353.39,16.58,2.78
4000,68836.24,11521.80,17.20,2.88
5000,87891.18,14786.77,17.57,2.95
6000,107682.78,18112.73,17.94,3.01
7000,127794.41,21488.57,18.25,3.06
8000,148229.73,24892.92,18.52,3.11
9000,169408.93,28335.66,18.82,3.14
10000,190154.66,31864.67,19.01,3.18
11000,212145.85,35396.55,19.28,3.21
12000,233308.36,38940.42,19.44,3.24
13000,254429.67,42542.10,19.57,3.27
14000,276273.50,46162.31,19.73,3.29
15000,297356.29,49790.40,19.82,3.31
16000,319570.79,53496.08,19.97,3.34
17000,340827.25,57189.33,20.04,3.36
18000,365417.18,60789.89,20.30,3.37
19000,387203.66,64556.41,20.37,3.39
20000,407841.31,68358.37,20.39,3.41
21000,432183.72,72069.59,20.58,3.43
22000,454445.29,75831.25,20.65,3.44
23000,473312.05,79758.03,20.57,3.46
24000,497592.95,83559.85,20.73,3.48
25000,524299.55,87178.66,20.97,3.48
26000,542764.38,91191.95,20.87,3.50
27000,565800.32,94947.51,20.95,3.51
28000,589369.92,98861.04,21.04,3.53
29000,609773.49,102859.74,21.02,3.54
30000,638127.56,106484.09,21.27,3.54
31000,660698.69,110402.31,21.31,3.56
32000,680800.96,114436.27,21.27,3.57
33000,706563.01,118278.02,21.41,3.58
34000,729476.39,122156.47,21.45,3.59
35000,754839.13,126048.62,21.56,3.60
36000,778318.37,129953.90,21.61,3.60
37000,802786.96,133935.50,21.69,3.61
38000,825049.86,137976.60,21.71,3.63
39000,848575.57,141885.78,21.75,3.63
40000,873480.99,145923.60,21.83,3.64
41000,895560.68,149902.85,21.84,3.65
42000,921709.10,153819.17,21.94,3.66
43000,939700.20,158026.45,21.85,3.67
44000,966318.58,161879.58,21.96,3.67
45000,995530.03,165793.29,22.12,3.68
46000,1017279.06,169859.05,22.11,3.69
47000,1044038.06,173848.28,22.21,3.69
48000,1067102.36,177979.24,22.23,3.70
49000,1088281.86,182197.51,22.20,3.71
50000,1114433.55,185907.78,22.28,3.71
