n,c,s,c/n,s/n
1000,3553.81,1811.08,3.55,1.81
2000,6929.93,3497.88,3.46,1.74
3000,9630.51,4871.80,3.21,1.62
4000,13360.74,6678.67,3.34,1.66
5000,16866.14,8604.89,3.37,1.72
6000,20518.27,10095.12,3.41,1.68
7000,24383.24,12581.80,3.48,1.79
8000,26885.23,13545.44,3.36,1.69
9000,30544.48,14876.04,3.39,1.65
10000,33171.71,17289.20,3.31,1.72
11000,37080.02,18139.57,3.37,1.64
12000,40030.49,19759.11,3.33,1.64
13000,42525.12,21543.18,3.27,1.65
14000,48238.47,23883.25,3.44,1.70
15000,53363.14,27186.43,3.55,1.81
16000,56149.63,27850.01,3.50,1.74
17000,59794.60,31284.28,3.51,1.84
18000,64286.59,31276.15,3.57,1.73
19000,61157.82,28857.43,3.21,1.51
20000,64936.06,32013.21,3.24,1.60
21000,70795.13,34865.36,3.37,1.66
22000,72301.51,36090.30,3.28,1.64
23000,75872.35,38397.66,3.29,1.66
24000,80375.29,41455.15,3.34,1.72
25000,88876.04,43833.12,3.55,1.75
26000,93201.46,46848.49,3.58,1.80
27000,90920.81,45661.36,3.36,1.69
28000,92455.90,47283.09,3.30,1.68
29000,98355.45,50907.51,3.39,1.75
30000,99122.69,47959.79,3.30,1.59
31000,104140.08,52438.74,3.35,1.69
32000,104752.80,53181.87,3.27,1.66
33000,105459.78,50871.16,3.19,1.54
34000,118587.92,60366.73,3.48,1.77
35000,113804.15,57875.84,3.25,1.65
36000,123510.70,63552.71,3.43,1.76
37000,129617.19,64612.58,3.50,1.74
38000,124867.90,62173.65,3.28,1.63
39000,132317.41,65702.20,3.39,1.68
40000,138506.90,68835.33,3.46,1.72
41000,135633.87,66202.10,3.30,1.61
42000,142110.09,71363.45,3.38,1.69
43000,142775.33,71363.92,3.32,1.65
44000,149326.16,75720.47,3.39,1.72
45000,151399.36,76757.41,3.36,1.70
46000,155532.11,79082.82,3.38,1.71
47000,162921.29,80351.71,3.46,1.70
48000,162333.48,78995.10,3.38,1.64
49000,162600.38,79852.38,3.31,1.62
50000,171889.83,86920.45,3.43,1.73
