n,c,s,c/n,s/n
1000,1958.52,972.89,1.95,.97
2000,4231.00,2247.61,2.11,1.12
3000,6076.14,3092.44,2.02,1.03
4000,7633.84,3649.94,1.90,.91
5000,9438.24,4454.39,1.88,.89
6000,11747.64,5765.50,1.95,.96
7000,14709.80,7727.66,2.10,1.10
8000,16541.87,8559.80,2.06,1.06
9000,17095.88,8113.78,1.89,.90
10000,19972.60,9990.94,1.99,.99
11000,22031.26,11050.16,2.00,1.00
12000,24864.40,12884.65,2.07,1.07
13000,26679.00,13698.59,2.05,1.05
14000,28926.92,14946.90,2.06,1.06
15000,28809.60,13828.57,1.92,.92
16000,30509.79,14528.72,1.90,.90
17000,34741.62,17761.01,2.04,1.04
18000,35327.38,17347.56,1.96,.96
19000,38657.50,19677.32,2.03,1.03
20000,38502.06,18521.03,1.92,.92
21000,44308.15,23328.91,2.10,1.11
22000,43859.47,21878.93,1.99,.99
23000,48075.09,25096.28,2.09,1.09
24000,46392.07,22413.24,1.93,.93
25000,52646.67,27667.52,2.10,1.10
26000,49094.86,23114.22,1.88,.88
27000,54506.52,27527.91,2.01,1.01
28000,57416.33,29436.94,2.05,1.05
29000,57172.32,28192.66,1.97,.97
30000,56378.15,26399.31,1.87,.87
31000,62129.63,31150.52,2.00,1.00
32000,64609.73,32630.52,2.01,1.01
33000,67770.52,34791.79,2.05,1.05
34000,65225.50,31245.34,1.91,.91
35000,68109.33,33130.61,1.94,.94
36000,68735.57,32755.92,1.90,.90
37000,70570.57,33591.68,1.90,.90
38000,72355.57,34377.05,1.90,.90
39000,71704.31,32724.61,1.83,.83
40000,79354.68,39375.22,1.98,.98
41000,79762.44,38784.09,1.94,.94
42000,83556.42,41577.70,1.98,.98
43000,83544.15,40565.85,1.94,.94
44000,85701.47,41722.87,1.94,.94
45000,87272.87,42294.61,1.93,.93
46000,88180.55,42202.60,1.91,.91
47000,100495.82,53518.51,2.13,1.13
48000,101288.44,53310.62,2.11,1.11
49000,97301.66,48324.21,1.98,.98
50000,97157.91,47179.20,1.94,.94
