n,c,s,c/n,s/n
1000,2855.73,1409.24,2.85,1.40
2000,5715.47,2753.69,2.85,1.37
3000,9059.66,4452.44,3.01,1.48
4000,11387.29,5881.66,2.84,1.47
5000,15009.81,7041.64,3.00,1.40
6000,17818.45,9143.66,2.96,1.52
7000,20481.09,10075.01,2.92,1.43
8000,23139.77,11986.88,2.89,1.49
9000,25759.92,12895.21,2.86,1.43
10000,31505.80,15717.03,3.15,1.57
11000,33070.93,16318.23,3.00,1.48
12000,36003.62,17583.40,3.00,1.46
13000,40594.40,20658.65,3.12,1.58
14000,42014.41,21731.18,3.00,1.55
15000,47269.52,23512.46,3.15,1.56
16000,50252.77,25396.58,3.14,1.58
17000,50978.51,24898.45,2.99,1.46
18000,53964.07,27386.56,2.99,1.52
19000,58584.62,29591.29,3.08,1.55
20000,58560.90,28565.68,2.92,1.42
21000,65064.00,32670.55,3.09,1.55
22000,64665.44,32793.14,2.93,1.49
23000,68122.03,33366.32,2.96,1.45
24000,76377.88,38848.79,3.18,1.61
25000,71492.85,35590.05,2.85,1.42
26000,77338.47,36879.91,2.97,1.41
27000,82065.65,41393.97,3.03,1.53
28000,90065.81,42926.16,3.21,1.53
29000,85667.63,42960.40,2.95,1.48
30000,93675.10,46125.43,3.12,1.53
31000,96091.35,50047.96,3.09,1.61
32000,98218.82,48034.69,3.06,1.50
33000,100105.60,50174.30,3.03,1.52
34000,110964.35,56406.42,3.26,1.65
35000,106253.27,54128.03,3.03,1.54
36000,103732.97,50024.20,2.88,1.38
37000,111834.33,54973.86,3.02,1.48
38000,115325.27,58340.31,3.03,1.53
39000,119297.95,57437.37,3.05,1.47
40000,117998.00,59608.77,2.94,1.49
41000,126957.06,62621.52,3.09,1.52
42000,123731.44,63081.69,2.94,1.50
43000,132159.11,69461.93,3.07,1.61
44000,132019.92,68085.18,3.00,1.54
45000,138881.66,68769.75,3.08,1.52
46000,142641.90,70600.89,3.10,1.53
47000,144401.74,72318.24,3.07,1.53
48000,145286.03,75191.99,3.02,1.56
49000,157890.36,78624.27,3.22,1.60
50000,146189.68,69537.64,2.92,1.39
