n,c,s,c/n,s/n
1000,8312.81,4485.93,8.31,4.48
2000,16772.23,9104.17,8.38,4.55
3000,25504.05,13831.79,8.50,4.61
4000,34160.44,18546.89,8.54,4.63
5000,43424.73,23561.45,8.68,4.71
6000,52273.03,28266.98,8.71,4.71
7000,61036.52,33143.96,8.71,4.73
8000,68941.33,37437.81,8.61,4.67
9000,78795.22,42834.46,8.75,4.75
10000,86529.06,46908.40,8.65,4.69
11000,96533.49,52310.36,8.77,4.75
12000,105008.15,56924.65,8.75,4.74
13000,114498.33,62063.59,8.80,4.77
14000,123866.15,67118.14,8.84,4.79
15000,132936.41,72027.17,8.86,4.80
16000,140998.83,76491.74,8.81,4.78
17000,149497.60,81240.49,8.79,4.77
18000,158813.47,85956.08,8.82,4.77
19000,166549.58,90345.43,8.76,4.75
20000,176825.06,95843.21,8.84,4.79
21000,187253.20,101321.02,8.91,4.82
22000,194191.09,105367.55,8.82,4.78
23000,204306.55,110793.67,8.88,4.81
24000,213089.45,115457.02,8.87,4.81
25000,219956.35,119447.53,8.79,4.77
26000,231489.73,125354.81,8.90,4.82
27000,240817.93,130493.59,8.91,4.83
28000,247853.86,134015.84,8.85,4.78
29000,258429.94,139932.55,8.91,4.82
30000,265996.66,144300.35,8.86,4.81
31000,276848.20,150251.33,8.93,4.84
32000,281097.33,152603.91,8.78,4.76
33000,293590.09,159264.84,8.89,4.82
34000,300402.83,163155.44,8.83,4.79
35000,309702.87,168539.63,8.84,4.81
36000,320676.77,173397.70,8.90,4.81
37000,330997.50,179677.21,8.94,4.85
38000,335170.49,181883.45,8.82,4.78
39000,349199.04,188938.50,8.95,4.84
40000,356570.11,194147.45,8.91,4.85
41000,367419.36,198991.98,8.96,4.85
42000,375219.16,203843.87,8.93,4.85
43000,382812.28,207593.70,8.90,4.82
44000,392239.65,212884.52,8.91,4.83
45000,403815.70,218844.63,8.97,4.86
46000,411656.06,223114.56,8.94,4.85
47000,415930.90,225829.80,8.84,4.80
48000,427404.58,232214.40,8.90,4.83
49000,434453.81,235921.45,8.86,4.81
50000,447472.70,242168.88,8.94,4.84
