n,c,s,c/n,s/n
1000,8153.29,4429.25,8.15,4.42
2000,16675.22,9042.68,8.33,4.52
3000,25555.10,13852.60,8.51,4.61
4000,34352.67,18642.10,8.58,4.66
5000,43180.83,23413.02,8.63,4.68
6000,51479.82,27873.37,8.57,4.64
7000,60693.66,32954.61,8.67,4.70
8000,69595.00,37772.50,8.69,4.72
9000,78569.92,42608.04,8.72,4.73
10000,87637.49,47517.97,8.76,4.75
11000,96624.82,52416.44,8.78,4.76
12000,105766.03,57294.33,8.81,4.77
13000,114082.54,61952.27,8.77,4.76
14000,123658.74,67025.07,8.83,4.78
15000,132473.36,71730.54,8.83,4.78
16000,141110.44,76655.08,8.81,4.79
17000,150026.29,81194.91,8.82,4.77
18000,158774.46,86080.54,8.82,4.78
19000,168365.56,91178.35,8.86,4.79
20000,177349.99,96086.18,8.86,4.80
21000,185866.05,100746.81,8.85,4.79
22000,194972.28,105786.58,8.86,4.80
23000,204781.85,110794.53,8.90,4.81
24000,212161.90,115029.45,8.84,4.79
25000,222092.60,120332.65,8.88,4.81
26000,231084.88,125290.32,8.88,4.81
27000,240658.61,130438.50,8.91,4.83
28000,249674.92,135266.31,8.91,4.83
29000,257300.40,139729.76,8.87,4.81
30000,266779.93,145056.83,8.89,4.83
31000,276494.09,149712.39,8.91,4.82
32000,285438.00,154698.13,8.91,4.83
33000,295686.56,159937.99,8.96,4.84
34000,303234.20,164156.95,8.91,4.82
35000,311434.12,169124.07,8.89,4.83
36000,320813.41,173951.65,8.91,4.83
37000,331925.60,179309.26,8.97,4.84
38000,339564.19,183904.23,8.93,4.83
39000,347903.43,188912.23,8.92,4.84
40000,356870.35,193658.92,8.92,4.84
41000,365299.15,198626.78,8.90,4.84
42000,376657.26,204186.90,8.96,4.86
43000,385977.41,208430.04,8.97,4.84
44000,393446.01,213161.75,8.94,4.84
45000,402409.23,218313.54,8.94,4.85
46000,410231.28,223186.76,8.91,4.85
47000,420208.75,227581.13,8.94,4.84
48000,430710.07,232859.66,8.97,4.85
49000,437647.34,237854.36,8.93,4.85
50000,448008.99,242783.13,8.96,4.85
