n,c,s,c/n,s/n
1000,8261.02,4481.89,8.26,4.48
2000,16960.98,9157.58,8.48,4.57
3000,25645.70,13897.59,8.54,4.63
4000,34348.92,18567.56,8.58,4.64
5000,43220.30,23440.34,8.64,4.68
6000,52091.86,28260.61,8.68,4.71
7000,60685.55,33084.27,8.66,4.72
8000,69801.85,37896.05,8.72,4.73
9000,78521.04,42519.60,8.72,4.72
10000,87918.62,47584.73,8.79,4.75
11000,96884.77,52422.27,8.80,4.76
12000,105536.18,57203.81,8.79,4.76
13000,114251.31,62025.44,8.78,4.77
14000,123641.05,67093.76,8.83,4.79
15000,132655.70,71999.79,8.84,4.79
16000,140917.12,76621.08,8.80,4.78
17000,149932.64,81450.91,8.81,4.79
18000,159763.84,86590.11,8.87,4.81
19000,168308.93,91179.56,8.85,4.79
20000,177017.14,95923.83,8.85,4.79
21000,186623.69,100783.11,8.88,4.79
22000,195231.86,105966.73,8.87,4.81
23000,204381.47,110947.99,8.88,4.82
24000,213358.08,115601.22,8.88,4.81
25000,222842.05,120310.69,8.91,4.81
26000,231538.17,125505.61,8.90,4.82
27000,240498.94,130354.25,8.90,4.82
28000,249462.65,135152.62,8.90,4.82
29000,258044.45,140144.93,8.89,4.83
30000,267849.66,145406.78,8.92,4.84
31000,276115.59,149807.24,8.90,4.83
32000,285123.62,154816.85,8.91,4.83
33000,293282.62,158991.51,8.88,4.81
34000,304638.48,164816.40,8.95,4.84
35000,311755.77,169432.87,8.90,4.84
36000,321072.49,174023.57,8.91,4.83
37000,329640.64,178854.90,8.90,4.83
38000,339163.21,184251.04,8.92,4.84
39000,348458.50,189133.28,8.93,4.84
40000,358129.26,194161.31,8.95,4.85
41000,368099.16,199095.99,8.97,4.85
42000,374451.79,202419.26,8.91,4.81
43000,383642.75,208162.95,8.92,4.84
44000,393933.46,213380.13,8.95,4.84
45000,402059.11,218029.29,8.93,4.84
46000,411522.06,223331.35,8.94,4.85
47000,420914.81,228372.03,8.95,4.85
48000,430913.87,232887.86,8.97,4.85
49000,437028.86,237657.62,8.91,4.85
50000,448559.00,243007.77,8.97,4.86
