n,c,time,c/ln(n)
1000,20.00,0,2.89
2000,22.00,0,2.89
3000,24.00,.01,3.00
4000,24.00,0,2.89
5000,26.00,.01,3.05
6000,26.00,0,2.99
7000,26.00,.01,2.93
8000,26.00,0,2.89
9000,28.00,.01,3.07
10000,28.00,.01,3.04
11000,28.00,.01,3.01
12000,28.00,0,2.98
13000,28.00,.01,2.95
14000,28.00,.01,2.93
15000,28.00,.01,2.91
16000,28.00,.01,2.89
17000,30.00,.01,3.08
18000,30.00,.01,3.06
19000,30.00,.01,3.04
20000,30.00,.02,3.03
21000,30.00,.01,3.01
22000,30.00,.01,3.00
23000,30.00,.01,2.98
24000,30.00,.02,2.97
25000,30.00,.01,2.96
26000,30.00,.02,2.95
27000,30.00,.01,2.94
28000,30.00,.02,2.93
29000,30.00,.01,2.92
30000,30.00,.02,2.91
31000,30.00,.02,2.90
32000,30.00,.02,2.89
33000,32.00,.01,3.07
34000,32.00,.02,3.06
35000,32.00,.02,3.05
36000,32.00,.02,3.05
37000,32.00,.02,3.04
38000,32.00,.02,3.03
39000,32.00,.02,3.02
40000,32.00,.02,3.02
41000,32.00,.03,3.01
42000,32.00,.02,3.00
43000,32.00,.02,3.00
44000,32.00,.03,2.99
45000,32.00,.02,2.98
46000,32.00,.03,2.98
47000,32.00,.02,2.97
48000,32.00,.03,2.97
49000,32.00,.02,2.96
50000,32.00,.03,2.96
51000,32.00,.02,2.95
52000,32.00,.03,2.94
53000,32.00,.03,2.94
54000,32.00,.03,2.93
55000,32.00,.03,2.93
56000,32.00,.03,2.92
57000,32.00,.03,2.92
58000,32.00,.03,2.91
59000,32.00,.03,2.91
60000,32.00,.03,2.90
61000,32.00,.04,2.90
62000,32.00,.03,2.90
63000,32.00,.04,2.89
64000,32.00,.05,2.89
65000,32.00,.03,2.88
66000,34.00,.04,3.06
67000,34.00,.04,3.06
68000,34.00,.04,3.05
69000,34.00,.05,3.05
70000,34.00,.04,3.04
71000,34.00,.04,3.04
72000,34.00,.04,3.04
73000,34.00,.04,3.03
74000,34.00,.04,3.03
75000,34.00,.04,3.03
76000,34.00,.04,3.02
77000,34.00,.05,3.02
78000,34.00,.04,3.01
79000,34.00,.04,3.01
80000,34.00,.05,3.01
81000,34.00,.04,3.00
82000,34.00,.05,3.00
83000,34.00,.05,3.00
84000,34.00,.04,3.00
85000,34.00,.05,2.99
86000,34.00,.05,2.99
87000,34.00,.05,2.99
88000,34.00,.05,2.98
89000,34.00,.05,2.98
90000,34.00,.05,2.98
91000,34.00,.06,2.97
92000,34.00,.05,2.97
93000,34.00,.06,2.97
94000,34.00,.05,2.96
95000,34.00,.06,2.96
96000,34.00,.06,2.96
97000,34.00,.07,2.96
98000,34.00,.05,2.95
99000,34.00,.07,2.95
100000,34.00,.06,2.95
