n,c,time,c/ln(n)
1000,15.74,.01,2.28
2000,18.30,0,2.40
3000,19.58,.01,2.44
4000,20.46,0,2.46
5000,20.84,.01,2.44
6000,21.46,0,2.46
7000,22.12,.01,2.49
8000,21.56,.01,2.40
9000,22.42,0,2.46
10000,22.90,.01,2.48
11000,22.44,.01,2.41
12000,23.28,.01,2.47
13000,23.08,.01,2.43
14000,23.00,.01,2.41
15000,23.78,.01,2.47
16000,24.36,.01,2.51
17000,24.22,.01,2.48
18000,24.84,.01,2.53
19000,24.22,.01,2.45
20000,24.48,.01,2.47
21000,24.84,.01,2.49
22000,24.78,.02,2.48
23000,24.68,.01,2.45
24000,25.94,.01,2.57
25000,25.70,.02,2.53
26000,25.92,.01,2.55
27000,25.32,.02,2.48
28000,25.76,.01,2.51
29000,26.26,.02,2.55
30000,25.58,.02,2.48
31000,26.34,.02,2.54
32000,26.04,.01,2.51
33000,25.64,.02,2.46
34000,26.02,.02,2.49
35000,25.88,.02,2.47
36000,26.34,.02,2.51
37000,26.76,.02,2.54
38000,26.36,.02,2.50
39000,26.20,.02,2.47
40000,26.76,.03,2.52
41000,26.98,.02,2.54
42000,27.22,.03,2.55
43000,27.56,.02,2.58
44000,26.72,.03,2.49
45000,27.72,.02,2.58
46000,27.48,.03,2.56
47000,27.84,.04,2.58
48000,27.40,.03,2.54
49000,27.46,.03,2.54
50000,27.42,.03,2.53
51000,27.30,.03,2.52
52000,27.56,.03,2.54
53000,27.50,.03,2.52
54000,28.08,.03,2.57
55000,28.24,.03,2.58
56000,27.22,.03,2.49
57000,27.82,.03,2.54
58000,28.16,.04,2.56
59000,27.40,.03,2.49
60000,28.10,.03,2.55
61000,28.20,.04,2.56
62000,28.52,.03,2.58
63000,28.00,.04,2.53
64000,28.14,.03,2.54
65000,28.08,.04,2.53
66000,27.92,.05,2.51
67000,28.58,.04,2.57
68000,28.60,.04,2.57
69000,28.68,.05,2.57
70000,28.66,.05,2.57
71000,28.18,.05,2.52
72000,28.88,.05,2.58
73000,28.62,.04,2.55
74000,28.38,.04,2.53
75000,28.54,.05,2.54
76000,28.14,.04,2.50
77000,28.70,.05,2.55
78000,28.38,.06,2.52
79000,28.66,.06,2.54
80000,29.56,.05,2.62
81000,29.30,.05,2.59
82000,28.94,.05,2.55
83000,29.22,.05,2.58
84000,29.40,.05,2.59
85000,28.86,.04,2.54
86000,29.00,.06,2.55
87000,29.28,.06,2.57
88000,29.28,.07,2.57
89000,29.10,.05,2.55
90000,28.76,.07,2.52
91000,29.56,.06,2.59
92000,29.34,.06,2.56
93000,29.48,.06,2.57
94000,29.32,.06,2.56
95000,29.06,.05,2.53
96000,29.56,.05,2.57
97000,29.08,.07,2.53
98000,29.04,.07,2.52
99000,29.46,.07,2.56
100000,29.14,.08,2.53
