n,c,time,c/ln(n)
1000,16.94,0,2.45
2000,18.94,0,2.49
3000,20.64,.01,2.58
4000,20.88,.01,2.51
5000,22.48,0,2.64
6000,22.56,.01,2.59
7000,22.88,0,2.58
8000,22.90,.01,2.55
9000,24.54,.01,2.69
10000,24.62,0,2.67
11000,24.62,.01,2.64
12000,24.56,.01,2.61
13000,24.94,.01,2.63
14000,24.86,.01,2.60
15000,24.88,.01,2.58
16000,25.00,.01,2.58
17000,26.44,.01,2.71
18000,26.56,.01,2.71
19000,26.42,.01,2.68
20000,26.58,.02,2.68
21000,26.60,.01,2.67
22000,26.28,.02,2.63
23000,26.72,.01,2.66
24000,26.72,.02,2.65
25000,26.94,.01,2.66
26000,26.94,.02,2.65
27000,26.94,.02,2.64
28000,26.92,.01,2.63
29000,26.90,.02,2.61
30000,26.96,.02,2.61
31000,26.90,.02,2.60
32000,26.90,.02,2.59
33000,28.60,.02,2.75
34000,28.52,.02,2.73
35000,28.72,.03,2.74
36000,28.46,.03,2.71
37000,28.52,.02,2.71
38000,28.62,.02,2.71
39000,28.58,.03,2.70
40000,28.56,.02,2.69
41000,28.60,.02,2.69
42000,28.66,.03,2.69
43000,28.54,.02,2.67
44000,28.58,.02,2.67
45000,28.52,.03,2.66
46000,28.38,.03,2.64
47000,28.44,.02,2.64
48000,28.50,.03,2.64
49000,28.56,.03,2.64
50000,28.96,.03,2.67
51000,28.94,.03,2.67
52000,28.94,.03,2.66
53000,28.96,.04,2.66
54000,28.90,.04,2.65
55000,28.92,.07,2.65
56000,28.92,.05,2.64
57000,28.98,.03,2.64
58000,28.92,.04,2.63
59000,28.98,.04,2.63
60000,28.96,.03,2.63
61000,28.96,.04,2.63
62000,28.92,.04,2.62
63000,28.94,.04,2.61
64000,28.88,.04,2.61
65000,28.90,.04,2.60
66000,30.38,.05,2.73
67000,30.58,.04,2.75
68000,30.62,.05,2.75
69000,30.46,.05,2.73
70000,30.50,.04,2.73
71000,30.60,.05,2.73
72000,30.58,.04,2.73
73000,30.64,.04,2.73
74000,30.62,.05,2.73
75000,30.44,.04,2.71
76000,30.46,.06,2.71
77000,30.56,.04,2.71
78000,30.56,.05,2.71
79000,30.54,.04,2.70
80000,30.62,.05,2.71
81000,30.60,.05,2.70
82000,30.68,.05,2.71
83000,30.60,.06,2.70
84000,30.64,.07,2.70
85000,30.58,.06,2.69
86000,30.52,.07,2.68
87000,30.56,.06,2.68
88000,30.52,.05,2.68
89000,30.34,.05,2.66
90000,30.70,.05,2.69
91000,30.40,.05,2.66
92000,30.58,.05,2.67
93000,30.46,.05,2.66
94000,30.58,.08,2.67
95000,30.62,.05,2.67
96000,30.46,.07,2.65
97000,30.46,.06,2.65
98000,30.52,.07,2.65
99000,30.88,.10,2.68
100000,30.94,.06,2.68
