n,c,s,c/n,s/n
1000,8614.94,5121.30,8.61,5.12
2000,17293.92,10300.72,8.64,5.15
3000,26290.26,15668.40,8.76,5.22
4000,35548.95,21172.59,8.88,5.29
5000,45069.23,26860.36,9.01,5.37
6000,53885.62,31976.71,8.98,5.32
7000,62952.31,37513.29,8.99,5.35
8000,71720.59,42952.75,8.96,5.36
9000,81456.50,48534.42,9.05,5.39
10000,90185.04,53735.89,9.01,5.37
11000,99046.34,58921.88,9.00,5.35
12000,109460.62,65104.06,9.12,5.42
13000,118679.65,70786.90,9.12,5.44
14000,127996.55,76416.74,9.14,5.45
15000,137240.09,81593.47,9.14,5.43
16000,145048.44,86572.25,9.06,5.41
17000,155404.86,92583.02,9.14,5.44
18000,164354.72,98104.16,9.13,5.45
19000,173623.61,103378.01,9.13,5.44
20000,183288.30,109249.99,9.16,5.46
21000,192854.17,115265.14,9.18,5.48
22000,200547.63,119957.98,9.11,5.45
23000,211889.62,126277.65,9.21,5.49
24000,221137.12,131851.77,9.21,5.49
25000,229955.28,136581.67,9.19,5.46
26000,238173.92,141810.34,9.16,5.45
27000,247498.89,147588.38,9.16,5.46
28000,258271.78,153745.90,9.22,5.49
29000,266695.20,158564.65,9.19,5.46
30000,277199.87,164984.53,9.23,5.49
31000,285521.35,170290.30,9.21,5.49
32000,293589.41,175037.67,9.17,5.46
33000,299372.84,178593.88,9.07,5.41
34000,312303.25,186304.13,9.18,5.47
35000,321914.47,191596.32,9.19,5.47
36000,328138.06,195977.17,9.11,5.44
37000,342141.07,203924.62,9.24,5.51
38000,351125.30,209164.17,9.24,5.50
39000,359030.38,214588.37,9.20,5.50
40000,369471.86,220633.78,9.23,5.51
41000,378646.12,225889.36,9.23,5.50
42000,388761.19,231341.88,9.25,5.50
43000,398396.84,236775.87,9.26,5.50
44000,405067.29,241694.73,9.20,5.49
45000,413023.80,246771.59,9.17,5.48
46000,425408.23,253737.39,9.24,5.51
47000,432759.96,257929.16,9.20,5.48
48000,438272.51,261986.70,9.13,5.45
49000,450935.81,268656.87,9.20,5.48
50000,462861.36,275496.46,9.25,5.50
