n,c,s,c/n,s/n
1000,9239.12,5875.21,9.23,5.87
2000,18963.11,12077.94,9.48,6.03
3000,28745.61,18368.96,9.58,6.12
4000,38590.82,24574.78,9.64,6.14
5000,48368.79,30827.84,9.67,6.16
6000,58122.08,37093.00,9.68,6.18
7000,68141.61,43431.48,9.73,6.20
8000,77895.91,49718.37,9.73,6.21
9000,87895.70,56242.56,9.76,6.24
10000,97814.64,62449.65,9.78,6.24
11000,107987.98,69011.50,9.81,6.27
12000,117922.76,75249.59,9.82,6.27
13000,127797.90,81303.14,9.83,6.25
14000,137403.85,87780.78,9.81,6.27
15000,147801.25,94356.22,9.85,6.29
16000,157752.44,100695.21,9.85,6.29
17000,166698.16,106999.60,9.80,6.29
18000,177150.49,113470.77,9.84,6.30
19000,186494.66,119527.53,9.81,6.29
20000,197206.32,126195.39,9.86,6.30
21000,206733.74,132376.15,9.84,6.30
22000,216516.42,138527.51,9.84,6.29
23000,225847.10,144847.55,9.81,6.29
24000,236305.43,151230.18,9.84,6.30
25000,247502.19,157993.25,9.90,6.31
26000,256453.32,163971.81,9.86,6.30
27000,266893.89,170562.57,9.88,6.31
28000,277709.57,177261.50,9.91,6.33
29000,286685.77,183530.66,9.88,6.32
30000,296476.05,189594.13,9.88,6.31
31000,306971.17,195935.56,9.90,6.32
32000,316583.74,202346.72,9.89,6.32
33000,326556.49,208677.95,9.89,6.32
34000,336209.75,214979.95,9.88,6.32
35000,346141.76,221819.54,9.88,6.33
36000,356397.20,227711.10,9.89,6.32
37000,366195.19,234482.39,9.89,6.33
38000,377917.90,240531.88,9.94,6.32
39000,386151.84,246984.81,9.90,6.33
40000,395053.74,253102.72,9.87,6.32
41000,406238.50,259947.46,9.90,6.34
42000,415276.35,266039.91,9.88,6.33
43000,427429.66,272714.06,9.94,6.34
44000,437383.94,278852.56,9.94,6.33
45000,445675.31,285003.71,9.90,6.33
46000,454076.66,290892.90,9.87,6.32
47000,466464.94,297922.69,9.92,6.33
48000,476086.87,304242.87,9.91,6.33
49000,484849.93,310716.79,9.89,6.34
50000,496201.16,317146.88,9.92,6.34
