n,c,s,c/n,s/n
1000,8223.42,4467.34,8.22,4.46
2000,16827.41,9125.13,8.41,4.56
3000,25478.72,13862.28,8.49,4.62
4000,34564.47,18692.79,8.64,4.67
5000,43203.10,23365.04,8.64,4.67
6000,52236.64,28305.23,8.70,4.71
7000,61108.46,33148.80,8.72,4.73
8000,70133.02,37980.80,8.76,4.74
9000,78694.98,42812.03,8.74,4.75
10000,88037.24,47585.74,8.80,4.75
11000,96832.95,52454.23,8.80,4.76
12000,105866.66,57425.53,8.82,4.78
13000,114058.79,62006.72,8.77,4.76
14000,122617.44,66647.24,8.75,4.76
15000,132191.60,71806.58,8.81,4.78
16000,141489.26,76861.61,8.84,4.80
17000,150312.32,81406.25,8.84,4.78
18000,159318.43,86427.33,8.85,4.80
19000,167894.32,91044.76,8.83,4.79
20000,177612.50,96266.62,8.88,4.81
21000,186901.27,101132.37,8.90,4.81
22000,194762.53,105623.97,8.85,4.80
23000,204489.37,110847.42,8.89,4.81
24000,212728.38,115743.57,8.86,4.82
25000,222752.51,120974.54,8.91,4.83
26000,231552.30,125557.56,8.90,4.82
27000,240200.60,129803.98,8.89,4.80
28000,250570.20,135529.75,8.94,4.84
29000,258322.56,140053.65,8.90,4.82
30000,267388.04,144977.31,8.91,4.83
31000,276711.19,149925.02,8.92,4.83
32000,284877.38,154560.68,8.90,4.83
33000,293725.73,159625.71,8.90,4.83
34000,304596.89,164518.76,8.95,4.83
35000,311586.79,169115.34,8.90,4.83
36000,320040.87,174017.07,8.89,4.83
37000,330715.57,178940.93,8.93,4.83
38000,340267.84,184253.43,8.95,4.84
39000,350082.76,189148.49,8.97,4.84
40000,357142.22,193464.73,8.92,4.83
41000,367425.13,198738.90,8.96,4.84
42000,377042.12,203831.03,8.97,4.85
43000,383564.04,208315.10,8.92,4.84
44000,392624.50,213023.99,8.92,4.84
45000,404614.84,218895.94,8.99,4.86
46000,410141.56,222276.03,8.91,4.83
47000,420436.83,228347.98,8.94,4.85
48000,430192.86,233316.59,8.96,4.86
49000,438559.73,238065.24,8.95,4.85
50000,447367.78,243045.14,8.94,4.86
