n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,4950.00,49.80,10.76,.10,.49,0
200,19900.00,99.85,18.80,.09,.49,0
300,44850.00,149.78,26.22,.08,.49,0
400,79800.00,199.75,33.30,.08,.49,0
500,124750.00,249.69,40.17,.08,.49,0
600,179700.00,299.81,46.87,.07,.49,0
700,244650.00,349.78,53.35,.07,.49,0
800,319600.00,399.83,59.80,.07,.49,0
900,404550.00,449.77,66.10,.07,.49,0
1000,499500.00,499.79,72.39,.07,.49,0
1100,604450.00,549.77,78.50,.07,.49,0
1200,719400.00,599.77,84.55,.07,.49,0
1300,844350.00,649.85,90.58,.06,.49,0
1400,979300.00,699.75,96.61,.06,.49,0
1500,1124250.00,749.78,102.53,.06,.49,0
1600,1279200.00,799.78,108.48,.06,.49,0
1700,1444150.00,849.82,114.33,.06,.49,0
1800,1619100.00,899.88,120.09,.06,.49,0
1900,1804050.00,949.77,125.92,.06,.49,0
2000,1999000.00,999.77,131.51,.06,.49,0
2100,2203950.00,1049.73,137.36,.06,.49,0
2200,2418900.00,1099.82,142.97,.06,.49,0
2300,2643850.00,1149.81,148.51,.06,.49,0
2400,2878800.00,1199.87,154.17,.06,.49,0
2500,3123750.00,1249.76,159.78,.06,.49,0
2600,3378700.00,1299.75,165.33,.06,.49,0
2700,3643650.00,1349.86,170.82,.06,.49,0
2800,3918600.00,1399.65,176.48,.06,.49,0
2900,4203550.00,1449.81,181.86,.06,.49,0
3000,4498500.00,1499.76,187.43,.06,.49,0
3100,4803450.00,1549.84,192.96,.06,.49,0
3200,5118400.00,1599.77,198.20,.06,.49,0
3300,5443350.00,1649.70,203.64,.06,.49,0
3400,5778300.00,1699.75,209.04,.06,.49,0
3500,6123250.00,1749.74,214.39,.06,.49,0
3600,6478200.00,1799.73,219.98,.06,.49,0
3700,6843150.00,1849.75,225.27,.06,.49,0
3800,7218100.00,1899.77,230.52,.06,.49,0
3900,7603050.00,1949.82,236.01,.06,.49,0
4000,7998000.00,1999.77,241.19,.06,.49,0
4100,8402950.00,2049.81,246.63,.06,.49,0
4200,8817900.00,2099.73,251.73,.05,.49,0
4300,9242850.00,2149.76,257.11,.05,.49,0
4400,9677800.00,2199.69,262.47,.05,.49,0
4500,10122750.00,2249.73,267.47,.05,.49,0
4600,10577700.00,2299.72,272.77,.05,.49,0
4700,11042650.00,2349.80,278.04,.05,.49,0
4800,11517600.00,2399.81,283.29,.05,.49,0
4900,12002550.00,2449.77,288.51,.05,.49,0
5000,12497500.00,2499.81,293.71,.05,.49,0
5100,13002450.00,2549.73,298.88,.05,.49,0
5200,13517400.00,2599.77,304.03,.05,.49,0
5300,14042350.00,2649.75,309.15,.05,.49,0
5400,14577300.00,2699.83,314.26,.05,.49,0
5500,15122250.00,2749.80,319.33,.05,.49,0
5600,15677200.00,2799.75,324.39,.05,.49,0
5700,16242150.00,2849.77,329.80,.05,.49,0
5800,16817100.00,2899.79,334.81,.05,.49,0
5900,17402050.00,2949.79,339.80,.05,.49,0
6000,17997000.00,2999.79,345.16,.05,.49,0
6100,18601950.00,3049.74,350.11,.05,.49,0
6200,19216900.00,3099.78,355.04,.05,.49,0
6300,19841850.00,3149.81,360.35,.05,.49,0
6400,20476800.00,3199.72,365.23,.05,.49,0
6500,21121750.00,3249.80,370.52,.05,.49,0
6600,21776700.00,3299.89,375.36,.05,.49,0
6700,22441650.00,3349.79,380.62,.05,.49,0
6800,23116600.00,3399.72,385.43,.05,.49,0
6900,23801550.00,3449.75,390.65,.05,.49,0
7000,24496500.00,3499.78,395.42,.05,.49,0
7100,25201450.00,3549.75,400.62,.05,.49,0
7200,25916400.00,3599.72,405.34,.05,.49,0
7300,26641350.00,3649.82,410.51,.05,.49,0
7400,27376300.00,3699.75,415.67,.05,.49,0
7500,28121250.00,3749.79,420.34,.05,.49,0
7600,28876200.00,3799.71,425.47,.05,.49,0
7700,29641150.00,3849.84,430.59,.05,.49,0
7800,30416100.00,3899.79,435.21,.05,.49,0
7900,31201050.00,3949.82,440.30,.05,.49,0
8000,31996000.00,3999.86,445.37,.05,.49,0
8100,32800950.00,4049.79,450.44,.05,.49,0
8200,33615900.00,4099.76,454.99,.05,.49,0
8300,34440850.00,4149.76,460.03,.05,.49,0
8400,35275800.00,4199.78,465.06,.05,.49,0
8500,36120750.00,4249.85,470.07,.05,.49,0
8600,36975700.00,4299.78,475.08,.05,.49,0
8700,37840650.00,4349.80,479.54,.05,.49,0
8800,38715600.00,4399.78,484.52,.05,.49,0
8900,39600550.00,4449.75,489.49,.05,.49,0
9000,40495500.00,4499.74,494.45,.05,.49,0
9100,41400450.00,4549.75,499.39,.05,.49,0
9200,42315400.00,4599.77,504.33,.05,.49,0
9300,43240350.00,4649.71,509.25,.05,.49,0
9400,44175300.00,4699.80,514.16,.05,.49,0
9500,45120250.00,4749.79,519.07,.05,.49,0
9600,46075200.00,4799.77,523.96,.05,.49,0
9700,47040150.00,4849.73,528.84,.05,.49,0
9800,48015100.00,4899.78,533.13,.05,.49,0
9900,49000050.00,4949.86,537.98,.05,.49,0
10000,49995000.00,4999.78,542.83,.05,.49,0
