n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,3148.81,1165.75,6.84,2.53,.31,.11
200,8490.08,3315.56,8.02,3.13,.21,.08
300,15781.19,6196.13,9.22,3.62,.17,.06
400,23203.70,10278.73,9.68,4.28,.14,.06
500,31993.27,14724.52,10.30,4.74,.12,.05
600,40490.41,18711.89,10.56,4.88,.11,.05
700,51212.98,24424.17,11.16,5.32,.10,.04
800,60055.84,28776.65,11.23,5.38,.09,.04
900,69763.62,33302.90,11.39,5.44,.08,.04
1000,79146.95,38540.88,11.47,5.58,.07,.03
1100,91028.99,45509.21,11.82,5.91,.07,.03
1200,101168.09,50806.56,11.89,5.97,.07,.03
1300,111066.11,55592.20,11.91,5.96,.06,.03
1400,123749.45,62413.80,12.20,6.15,.06,.03
1500,134832.04,68007.39,12.29,6.20,.05,.03
1600,147606.53,75970.80,12.51,6.44,.05,.02
1700,158657.91,81208.20,12.56,6.42,.05,.02
1800,169674.62,87015.00,12.58,6.45,.05,.02
1900,180503.59,92893.22,12.59,6.48,.05,.02
2000,191692.66,98584.51,12.61,6.48,.04,.02
2100,208403.33,108007.62,12.98,6.73,.04,.02
2200,218639.29,113514.89,12.92,6.70,.04,.02
2300,231962.52,120711.86,13.03,6.78,.04,.02
2400,245465.28,128926.27,13.14,6.90,.04,.02
2500,258730.97,136078.23,13.23,6.96,.04,.02
2600,268920.18,140727.88,13.15,6.88,.03,.02
2700,281763.60,148299.51,13.20,6.95,.03,.02
2800,293710.89,155237.18,13.22,6.99,.03,.01
2900,306177.58,161499.95,13.24,6.98,.03,.01
3000,319324.40,168377.68,13.30,7.01,.03,.01
3100,332816.84,176122.36,13.36,7.07,.03,.01
3200,349612.80,186853.96,13.53,7.23,.03,.01
3300,363474.12,194147.94,13.59,7.26,.03,.01
3400,376337.69,200948.60,13.61,7.26,.03,.01
3500,388940.39,207391.32,13.61,7.26,.03,.01
3600,403171.07,217156.65,13.69,7.37,.03,.01
3700,417508.25,224770.12,13.74,7.39,.03,.01
3800,430901.46,231565.08,13.76,7.39,.02,.01
3900,443658.87,238536.02,13.77,7.40,.02,.01
4000,453919.67,244674.72,13.68,7.37,.02,.01
4100,469271.74,252388.39,13.77,7.40,.02,.01
4200,486234.29,262009.38,13.88,7.47,.02,.01
4300,499431.34,269485.12,13.89,7.49,.02,.01
4400,512657.72,276344.04,13.90,7.49,.02,.01
4500,527471.65,284467.56,13.93,7.51,.02,.01
4600,539812.21,291830.07,13.92,7.52,.02,.01
4700,558592.04,302708.19,14.06,7.62,.02,.01
4800,576547.47,314641.74,14.18,7.73,.02,.01
4900,588833.71,321160.10,14.15,7.72,.02,.01
5000,603641.80,329743.08,14.18,7.74,.02,.01
5100,618476.14,336893.39,14.21,7.74,.02,.01
5200,631792.71,344932.18,14.21,7.75,.02,.01
5300,646172.66,352404.85,14.22,7.75,.02,.01
5400,660482.24,362435.96,14.23,7.81,.02,.01
5500,676072.15,370800.06,14.27,7.83,.02,.01
5600,689439.76,378080.71,14.26,7.82,.02,.01
5700,707343.50,388189.33,14.36,7.88,.02,.01
5800,716674.21,392779.40,14.26,7.81,.02,.01
5900,732293.04,401512.73,14.29,7.84,.02,.01
6000,745475.72,408955.13,14.29,7.84,.02,.01
6100,762509.05,418971.97,14.35,7.88,.02,.01
6200,778565.34,427553.58,14.38,7.89,.02,.01
6300,799672.82,440130.38,14.52,7.99,.02,.01
6400,811299.05,447825.21,14.47,7.98,.01,.01
6500,825850.61,454872.23,14.48,7.97,.01,.01
6600,842668.84,464243.74,14.52,8.00,.01,.01
6700,853650.99,470241.16,14.47,7.97,.01,.01
6800,869689.23,479525.90,14.50,7.99,.01,.01
6900,884335.78,487095.34,14.51,7.99,.01,.01
7000,902831.06,498183.61,14.57,8.04,.01,.01
7100,922659.59,511816.77,14.66,8.13,.01,.01
7200,940655.73,523587.58,14.71,8.18,.01,.01
7300,954573.28,531634.13,14.70,8.19,.01,0
7400,971824.87,539841.03,14.75,8.19,.01,0
7500,988891.10,550318.25,14.78,8.22,.01,0
7600,1001339.64,556779.99,14.75,8.20,.01,0
7700,1017148.37,565912.69,14.77,8.22,.01,0
7800,1029727.27,572967.36,14.73,8.19,.01,0
7900,1048113.43,583194.66,14.79,8.22,.01,0
8000,1061223.65,591176.14,14.77,8.22,.01,0
8100,1077952.42,601950.16,14.80,8.26,.01,0
8200,1095231.34,611246.42,14.82,8.27,.01,0
8300,1109899.53,619442.61,14.82,8.27,.01,0
8400,1123471.49,628290.73,14.81,8.28,.01,0
8500,1134461.41,634410.87,14.76,8.25,.01,0
8600,1154537.01,644545.31,14.83,8.28,.01,0
8700,1170135.05,653029.17,14.82,8.27,.01,0
8800,1184664.80,661534.54,14.82,8.27,.01,0
8900,1198185.66,668949.51,14.81,8.26,.01,0
9000,1215248.47,679143.54,14.83,8.29,.01,0
9100,1231232.15,687985.33,14.85,8.29,.01,0
9200,1247693.42,696603.67,14.87,8.30,.01,0
9300,1270753.02,710735.99,14.96,8.37,.01,0
9400,1283746.93,719678.51,14.94,8.37,.01,0
9500,1306198.93,733853.99,15.02,8.44,.01,0
9600,1320170.06,741903.92,15.01,8.43,.01,0
9700,1338390.58,752313.21,15.04,8.45,.01,0
9800,1353042.81,759958.29,15.02,8.43,.01,0
9900,1373170.62,771967.19,15.07,8.47,.01,0
10000,1384672.63,777518.98,15.03,8.44,.01,0
