n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,4399.60,527.11,9.56,1.14,.43,.05
200,17581.70,2061.03,16.61,1.94,.43,.05
300,39645.24,4571.04,23.18,2.67,.44,.05
400,70422.66,8165.75,29.39,3.40,.44,.05
500,110203.63,12638.43,35.49,4.07,.44,.05
600,157820.56,18846.73,41.16,4.91,.43,.05
700,216249.45,24592.47,47.16,5.36,.44,.05
800,281450.29,32361.31,52.66,6.05,.43,.05
900,357202.25,40860.60,58.36,6.67,.44,.05
1000,439898.65,51023.69,63.75,7.39,.43,.05
1100,532440.21,61685.80,69.14,8.01,.44,.05
1200,633769.56,73444.19,74.49,8.63,.44,.05
1300,742830.66,86609.36,79.69,9.29,.43,.05
1400,862505.60,99392.06,85.09,9.80,.44,.05
1500,990701.86,114198.94,90.35,10.41,.44,.05
1600,1127089.76,129935.21,95.58,11.01,.44,.05
1700,1272741.75,146192.29,100.76,11.57,.44,.05
1800,1426216.67,164045.75,105.78,12.16,.44,.05
1900,1590066.77,182090.12,110.99,12.71,.44,.05
2000,1763602.16,200663.10,116.02,13.20,.44,.05
2100,1939261.73,225774.84,120.87,14.07,.43,.05
2200,2131046.63,244463.70,125.96,14.44,.44,.05
2300,2332623.49,265505.63,131.03,14.91,.44,.05
2400,2534897.83,291767.69,135.75,15.62,.44,.05
2500,2750475.74,317266.84,140.68,16.22,.44,.05
2600,2977878.18,341680.63,145.71,16.71,.44,.05
2700,3208095.31,370104.32,150.40,17.35,.44,.05
2800,3453364.98,395376.78,155.52,17.80,.44,.05
2900,3701275.19,426110.74,160.13,18.43,.44,.05
3000,3962513.84,454882.81,165.10,18.95,.44,.05
3100,4238773.85,477374.88,170.27,19.17,.44,.04
3200,4510236.49,516001.46,174.65,19.98,.44,.05
3300,4797961.91,549321.10,179.49,20.55,.44,.05
3400,5089818.73,587430.99,184.13,21.25,.44,.05
3500,5393426.76,619572.17,188.84,21.69,.44,.05
3600,5702800.42,661032.22,193.65,22.44,.44,.05
3700,6034634.35,688127.75,198.65,22.65,.44,.05
3800,6359561.44,731191.90,203.10,23.35,.44,.05
3900,6696683.42,770701.11,207.88,23.92,.44,.05
4000,7045476.09,810663.43,212.46,24.44,.44,.05
4100,7407305.25,846779.13,217.40,24.85,.44,.05
4200,7775588.53,885435.32,221.98,25.27,.44,.05
4300,8137762.68,934810.56,226.37,26.00,.44,.05
4400,8512952.37,987997.86,230.87,26.79,.43,.05
4500,8917975.03,1024865.31,235.64,27.08,.44,.05
4600,9322741.05,1066910.21,240.41,27.51,.44,.05
4700,9730706.76,1115357.21,245.01,28.08,.44,.05
4800,10136184.04,1169463.80,249.31,28.76,.43,.05
4900,10570184.01,1211397.39,254.08,29.11,.44,.05
5000,11013856.68,1257928.91,258.84,29.56,.44,.05
5100,11453081.78,1313960.97,263.27,30.20,.44,.05
5200,11912822.16,1363600.38,267.94,30.67,.44,.05
5300,12375110.31,1415511.21,272.45,31.16,.44,.05
5400,12848379.88,1468388.04,276.98,31.65,.44,.05
5500,13328039.09,1526569.80,281.44,32.23,.44,.05
5600,13802612.14,1589839.99,285.60,32.89,.44,.05
5700,14302584.19,1644204.85,290.41,33.38,.44,.05
5800,14813734.50,1696150.74,294.92,33.76,.44,.05
5900,15322782.13,1764111.94,299.20,34.44,.44,.05
6000,15840582.34,1832181.35,303.80,35.13,.44,.05
6100,16386013.76,1884325.34,308.40,35.46,.44,.05
6200,16912358.26,1955479.11,312.46,36.12,.43,.05
6300,17471150.17,2009446.68,317.29,36.49,.44,.05
6400,18036719.76,2065708.28,321.71,36.84,.44,.05
6500,18606462.16,2133966.56,326.40,37.43,.44,.05
6600,19190600.84,2188556.24,330.79,37.72,.44,.05
6700,19752616.24,2283012.21,335.01,38.72,.44,.05
6800,20355411.89,2346493.02,339.39,39.12,.44,.05
6900,20954884.29,2416768.05,343.93,39.66,.44,.05
7000,21582522.00,2477282.89,348.38,39.98,.44,.05
7100,22189908.90,2549699.72,352.74,40.53,.44,.05
7200,22825950.21,2618797.76,357.01,40.95,.44,.05
7300,23472424.71,2686285.15,361.68,41.39,.44,.05
7400,24115157.89,2765219.03,366.15,41.98,.44,.05
7500,24771739.11,2842964.45,370.28,42.49,.44,.05
7600,25429754.86,2922236.35,374.69,43.05,.44,.05
7700,26107767.07,2998396.10,379.26,43.55,.44,.05
