n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,2267.10,674.72,4.92,1.46,.22,.06
200,7717.23,2075.91,7.29,1.96,.19,.05
300,11063.11,3829.54,6.46,2.23,.12,.04
400,15626.68,5869.19,6.52,2.44,.09,.03
500,20551.55,8623.04,6.61,2.77,.08,.03
600,26567.17,10483.28,6.92,2.73,.07,.02
700,32568.79,12776.77,7.10,2.78,.06,.02
800,39963.66,15821.18,7.47,2.96,.06,.02
900,43523.82,20061.69,7.11,3.27,.05,.02
1000,48988.74,22324.89,7.09,3.23,.04,.02
1100,57250.52,25162.96,7.43,3.26,.04,.02
1200,62488.10,27312.68,7.34,3.21,.04,.01
1300,69842.09,30608.44,7.49,3.28,.04,.01
1400,75677.24,32806.88,7.46,3.23,.03,.01
1500,86148.52,35757.71,7.85,3.26,.03,.01
1600,91969.24,39843.74,7.79,3.37,.03,.01
1700,96227.04,46629.53,7.61,3.69,.03,.01
1800,101792.36,49606.75,7.55,3.67,.03,.01
1900,111041.88,52855.10,7.75,3.68,.03,.01
2000,116226.13,55838.73,7.64,3.67,.02,.01
2100,124901.30,59938.88,7.78,3.73,.02,.01
2200,132728.76,62384.78,7.84,3.68,.02,.01
2300,138690.76,65933.39,7.79,3.70,.02,.01
2400,146534.71,68146.37,7.84,3.64,.02,.01
2500,156103.61,72974.15,7.98,3.73,.02,.01
2600,160049.34,75539.91,7.83,3.69,.02,.01
2700,174205.40,79035.26,8.16,3.70,.02,.01
2800,176546.84,81697.92,7.95,3.67,.02,.01
2900,185236.02,85373.37,8.01,3.69,.02,.01
3000,195751.85,88158.51,8.15,3.67,.02,0
3100,201076.92,92030.58,8.07,3.69,.02,0
3200,213005.53,98535.93,8.24,3.81,.02,0
3300,216674.65,109367.51,8.10,4.09,.01,.01
3400,223939.39,112869.08,8.10,4.08,.01,0
3500,233363.21,116303.87,8.17,4.07,.01,0
3600,238137.10,120083.07,8.08,4.07,.01,0
3700,248265.96,124985.39,8.17,4.11,.01,0
3800,256515.22,126937.95,8.19,4.05,.01,0
3900,263688.02,132103.00,8.18,4.10,.01,0
4000,269856.15,135206.50,8.13,4.07,.01,0
4100,284211.16,140079.99,8.34,4.11,.01,0
4200,286818.30,143286.87,8.18,4.09,.01,0
4300,296844.47,147489.85,8.25,4.10,.01,0
4400,305777.62,149684.92,8.29,4.05,.01,0
4500,315228.81,155534.01,8.32,4.10,.01,0
4600,318593.83,157920.81,8.21,4.07,.01,0
4700,333482.48,162256.30,8.39,4.08,.01,0
4800,338686.98,164505.69,8.33,4.04,.01,0
4900,346489.52,171719.47,8.32,4.12,.01,0
5000,357031.33,174947.85,8.39,4.11,.01,0
5100,371761.37,179024.03,8.54,4.11,.01,0
5200,371375.85,182814.34,8.35,4.11,.01,0
5300,383631.69,187717.92,8.44,4.13,.01,0
5400,396888.37,189699.16,8.55,4.08,.01,0
5500,399526.67,194936.16,8.43,4.11,.01,0
5600,403391.62,196218.64,8.34,4.06,.01,0
5700,422902.24,200785.97,8.58,4.07,.01,0
5800,422018.73,204330.74,8.40,4.06,.01,0
5900,435289.60,209451.21,8.49,4.08,.01,0
6000,449212.36,212149.63,8.61,4.06,.01,0
6100,454527.42,217190.71,8.55,4.08,.01,0
6200,458883.44,220720.90,8.47,4.07,.01,0
6300,480268.50,227292.59,8.72,4.12,.01,0
6400,484016.85,234357.51,8.63,4.18,.01,0
6500,490959.18,249435.37,8.61,4.37,.01,0
6600,495628.58,257377.37,8.54,4.43,.01,0
6700,505147.40,262133.67,8.56,4.44,.01,0
6800,514784.94,266959.66,8.58,4.45,.01,0
6900,528590.79,272326.02,8.67,4.46,.01,0
7000,531932.78,273265.45,8.58,4.41,.01,0
7100,542506.36,281119.94,8.62,4.46,.01,0
7200,544940.45,282906.14,8.52,4.42,.01,0
7300,558947.10,289431.44,8.61,4.45,.01,0
7400,563863.33,292141.35,8.56,4.43,.01,0
7500,580545.20,297873.45,8.67,4.45,.01,0
7600,585721.98,299009.86,8.63,4.40,.01,0
7700,595350.28,305886.93,8.64,4.44,.01,0
7800,599637.64,309296.76,8.57,4.42,0,0
7900,613154.52,316280.07,8.65,4.46,0,0
8000,618100.82,318512.09,8.60,4.43,0,0
8100,638521.09,328095.83,8.76,4.50,0,0
8200,646439.33,328867.52,8.74,4.45,0,0
8300,654170.75,332595.90,8.73,4.44,0,0
8400,656457.98,337802.12,8.65,4.45,0,0
8500,668295.00,345121.01,8.69,4.49,0,0
8600,677691.26,347305.62,8.70,4.46,0,0
8700,690574.71,353783.88,8.75,4.48,0,0
8800,698882.75,354354.79,8.74,4.43,0,0
8900,712311.79,359568.82,8.80,4.44,0,0
9000,714309.09,364355.47,8.72,4.44,0,0
9100,722043.37,370013.67,8.70,4.46,0,0
9200,727936.50,372532.45,8.67,4.43,0,0
9300,741751.05,379236.96,8.73,4.46,0,0
9400,752591.62,380170.84,8.75,4.42,0,0
9500,770278.80,386443.08,8.86,4.44,0,0
9600,769375.79,387624.95,8.74,4.40,0,0
9700,779754.74,399343.01,8.76,4.48,0,0
9800,786512.77,402145.78,8.73,4.46,0,0
9900,800069.12,406335.15,8.78,4.46,0,0
10000,807294.66,408983.03,8.76,4.44,0,0
