n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,4950.00,0,10.76,0,.49,0
200,19900.00,0,18.80,0,.49,0
300,44850.00,0,26.22,0,.49,0
400,79800.00,0,33.30,0,.49,0
500,124750.00,0,40.17,0,.49,0
600,179700.00,0,46.87,0,.49,0
700,244650.00,0,53.35,0,.49,0
800,319600.00,0,59.80,0,.49,0
900,404550.00,0,66.10,0,.49,0
1000,499500.00,0,72.39,0,.49,0
1100,604450.00,0,78.50,0,.49,0
1200,719400.00,0,84.55,0,.49,0
1300,844350.00,0,90.58,0,.49,0
1400,979300.00,0,96.61,0,.49,0
1500,1124250.00,0,102.53,0,.49,0
1600,1279200.00,0,108.48,0,.49,0
1700,1444150.00,0,114.33,0,.49,0
1800,1619100.00,0,120.09,0,.49,0
1900,1804050.00,0,125.92,0,.49,0
2000,1999000.00,0,131.51,0,.49,0
2100,2203950.00,0,137.36,0,.49,0
2200,2418900.00,0,142.97,0,.49,0
2300,2643850.00,0,148.51,0,.49,0
2400,2878800.00,0,154.17,0,.49,0
2500,3123750.00,0,159.78,0,.49,0
2600,3378700.00,0,165.33,0,.49,0
2700,3643650.00,0,170.82,0,.49,0
2800,3918600.00,0,176.48,0,.49,0
2900,4203550.00,0,181.86,0,.49,0
3000,4498500.00,0,187.43,0,.49,0
3100,4803450.00,0,192.96,0,.49,0
3200,5118400.00,0,198.20,0,.49,0
3300,5443350.00,0,203.64,0,.49,0
3400,5778300.00,0,209.04,0,.49,0
3500,6123250.00,0,214.39,0,.49,0
3600,6478200.00,0,219.98,0,.49,0
3700,6843150.00,0,225.27,0,.49,0
3800,7218100.00,0,230.52,0,.49,0
3900,7603050.00,0,236.01,0,.49,0
4000,7998000.00,0,241.19,0,.49,0
4100,8402950.00,0,246.63,0,.49,0
4200,8817900.00,0,251.73,0,.49,0
4300,9242850.00,0,257.11,0,.49,0
4400,9677800.00,0,262.47,0,.49,0
4500,10122750.00,0,267.47,0,.49,0
4600,10577700.00,0,272.77,0,.49,0
4700,11042650.00,0,278.04,0,.49,0
4800,11517600.00,0,283.29,0,.49,0
4900,12002550.00,0,288.51,0,.49,0
5000,12497500.00,0,293.71,0,.49,0
5100,13002450.00,0,298.88,0,.49,0
5200,13517400.00,0,304.03,0,.49,0
5300,14042350.00,0,309.15,0,.49,0
5400,14577300.00,0,314.26,0,.49,0
5500,15122250.00,0,319.33,0,.49,0
5600,15677200.00,0,324.39,0,.49,0
5700,16242150.00,0,329.80,0,.49,0
5800,16817100.00,0,334.81,0,.49,0
5900,17402050.00,0,339.80,0,.49,0
6000,17997000.00,0,345.16,0,.49,0
6100,18601950.00,0,350.11,0,.49,0
6200,19216900.00,0,355.04,0,.49,0
6300,19841850.00,0,360.35,0,.49,0
6400,20476800.00,0,365.23,0,.49,0
6500,21121750.00,0,370.52,0,.49,0
6600,21776700.00,0,375.36,0,.49,0
6700,22441650.00,0,380.62,0,.49,0
6800,23116600.00,0,385.43,0,.49,0
6900,23801550.00,0,390.65,0,.49,0
7000,24496500.00,0,395.42,0,.49,0
7100,25201450.00,0,400.62,0,.49,0
7200,25916400.00,0,405.34,0,.49,0
7300,26641350.00,0,410.51,0,.49,0
7400,27376300.00,0,415.67,0,.49,0
7500,28121250.00,0,420.34,0,.49,0
7600,28876200.00,0,425.47,0,.49,0
7700,29641150.00,0,430.59,0,.49,0
7800,30416100.00,0,435.21,0,.49,0
7900,31201050.00,0,440.30,0,.49,0
8000,31996000.00,0,445.37,0,.49,0
8100,32800950.00,0,450.44,0,.49,0
8200,33615900.00,0,454.99,0,.49,0
8300,34440850.00,0,460.03,0,.49,0
8400,35275800.00,0,465.06,0,.49,0
8500,36120750.00,0,470.07,0,.49,0
8600,36975700.00,0,475.08,0,.49,0
8700,37840650.00,0,479.54,0,.49,0
8800,38715600.00,0,484.52,0,.49,0
8900,39600550.00,0,489.49,0,.49,0
9000,40495500.00,0,494.45,0,.49,0
9100,41400450.00,0,499.39,0,.49,0
9200,42315400.00,0,504.33,0,.49,0
9300,43240350.00,0,509.25,0,.49,0
9400,44175300.00,0,514.16,0,.49,0
9500,45120250.00,0,519.07,0,.49,0
9600,46075200.00,0,523.96,0,.49,0
9700,47040150.00,0,528.84,0,.49,0
9800,48015100.00,0,533.13,0,.49,0
9900,49000050.00,0,537.98,0,.49,0
10000,49995000.00,0,542.83,0,.49,0
