n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,3557.89,261.92,7.73,.56,.35,.02
200,9871.68,829.21,9.33,.78,.24,.02
300,17547.71,1588.03,10.26,.92,.19,.01
400,23810.62,2703.73,9.93,1.12,.14,.01
500,31023.99,3955.38,9.99,1.27,.12,.01
600,39493.27,5066.49,10.30,1.32,.10,.01
700,46451.48,6600.56,10.13,1.43,.09,.01
800,54556.02,7801.31,10.20,1.45,.08,.01
900,65723.71,8938.09,10.73,1.46,.08,.01
1000,75447.09,10224.00,10.93,1.48,.07,.01
1100,80871.14,12316.62,10.50,1.59,.06,.01
1200,90345.05,13610.46,10.61,1.59,.06,0
1300,101205.59,14652.80,10.85,1.57,.05,0
1400,109348.34,16559.34,10.78,1.63,.05,0
1500,121721.24,18070.05,11.10,1.64,.05,0
1600,126227.08,20434.36,10.70,1.73,.04,0
1700,136569.49,21453.17,10.81,1.69,.04,0
1800,147825.47,23337.94,10.96,1.73,.04,0
1900,158819.38,24338.40,11.08,1.69,.04,0
2000,171612.93,25757.65,11.29,1.69,.04,0
2100,177109.06,28598.83,11.03,1.78,.04,0
2200,187976.23,30048.40,11.11,1.77,.03,0
2300,200043.70,31183.18,11.23,1.75,.03,0
2400,205174.91,34488.57,10.98,1.84,.03,0
2500,216985.91,35993.41,11.09,1.84,.03,0
2600,227036.86,36718.20,11.10,1.79,.03,0
2700,240749.06,39209.25,11.28,1.83,.03,0
2800,251032.29,40583.17,11.30,1.82,.03,0
2900,262091.43,41599.84,11.33,1.79,.03,0
3000,277900.30,43857.04,11.57,1.82,.03,0
3100,286895.19,45499.49,11.52,1.82,.02,0
3200,288445.59,48728.05,11.16,1.88,.02,0
3300,302551.16,50907.25,11.31,1.90,.02,0
3400,315401.64,52243.20,11.41,1.88,.02,0
3500,324993.01,53364.91,11.37,1.86,.02,0
3600,332426.24,57511.08,11.28,1.95,.02,0
3700,344787.41,59180.09,11.35,1.94,.02,0
3800,355752.35,60124.60,11.36,1.92,.02,0
3900,367940.09,61405.43,11.42,1.90,.02,0
4000,381251.22,63215.57,11.49,1.90,.02,0
4100,395426.25,65508.88,11.60,1.92,.02,0
4200,404077.68,68125.54,11.53,1.94,.02,0
4300,414591.92,69282.10,11.53,1.92,.02,0
4400,426398.86,70520.52,11.56,1.91,.02,0
4500,446104.07,73738.23,11.78,1.94,.02,0
4600,457286.77,74508.41,11.79,1.92,.02,0
4700,457941.33,78091.67,11.53,1.96,.02,0
4800,464290.81,81779.43,11.41,2.01,.02,0
4900,475374.17,83361.64,11.42,2.00,.01,0
5000,488845.65,84943.01,11.48,1.99,.01,0
5100,504458.69,87013.02,11.59,2.00,.01,0
5200,517247.84,88428.36,11.63,1.98,.01,0
5300,524440.03,89878.82,11.54,1.97,.01,0
5400,535607.05,94903.11,11.54,2.04,.01,0
5500,545806.28,96075.51,11.52,2.02,.01,0
5600,557856.98,97223.13,11.54,2.01,.01,0
5700,572936.05,99282.87,11.63,2.01,.01,0
5800,584075.59,100408.04,11.62,1.99,.01,0
5900,598501.97,102061.41,11.68,1.99,.01,0
6000,615312.01,104846.92,11.80,2.01,.01,0
6100,629906.74,107228.52,11.85,2.01,.01,0
6200,634665.01,108665.79,11.72,2.00,.01,0
6300,646099.83,113222.57,11.73,2.05,.01,0
6400,653961.67,113897.84,11.66,2.03,.01,0
6500,666659.28,115557.51,11.69,2.02,.01,0
6600,682564.67,117810.81,11.76,2.03,.01,0
6700,697257.83,119753.49,11.82,2.03,.01,0
6800,715084.78,122143.34,11.92,2.03,.01,0
6900,728175.17,123689.01,11.95,2.03,.01,0
7000,734985.37,126098.03,11.86,2.03,.01,0
7100,730155.06,131112.82,11.60,2.08,.01,0
7200,744426.70,135325.14,11.64,2.11,.01,0
7300,754475.76,137086.76,11.62,2.11,.01,0
7400,767328.07,138140.13,11.65,2.09,.01,0
7500,783169.37,140613.04,11.70,2.10,.01,0
7600,797422.14,142428.27,11.74,2.09,.01,0
7700,805634.47,142733.88,11.70,2.07,.01,0
7800,825304.46,145679.15,11.80,2.08,.01,0
7900,833822.88,146998.96,11.76,2.07,.01,0
8000,840240.64,149608.83,11.69,2.08,.01,0
8100,860682.45,155483.34,11.81,2.13,.01,0
8200,871326.27,156544.50,11.79,2.11,.01,0
8300,879268.57,157418.28,11.74,2.10,.01,0
8400,895843.42,159780.24,11.81,2.10,.01,0
8500,904820.02,160173.16,11.77,2.08,.01,0
8600,921645.24,162743.34,11.84,2.09,.01,0
8700,935795.85,164708.90,11.85,2.08,.01,0
8800,950785.22,166634.89,11.89,2.08,.01,0
8900,960332.99,167157.31,11.87,2.06,.01,0
9000,987227.05,172545.36,12.05,2.10,.01,0
9100,1002297.23,174996.46,12.09,2.11,.01,0
9200,1011106.20,175055.94,12.05,2.08,.01,0
9300,1018173.51,178467.43,11.99,2.10,.01,0
9400,1016625.01,181630.61,11.83,2.11,.01,0
9500,1028184.47,185652.33,11.82,2.13,.01,0
9600,1042624.76,188010.14,11.85,2.13,.01,0
9700,1055390.09,190036.94,11.86,2.13,.01,0
9800,1065091.78,190410.81,11.82,2.11,.01,0
9900,1087166.59,194529.87,11.93,2.13,.01,0
10000,1098070.52,195363.54,11.92,2.12,.01,0
