n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,2408.92,835.02,5.23,1.81,.24,.08
200,7024.15,2520.30,6.63,2.38,.17,.06
300,11989.21,4664.00,7.01,2.72,.13,.05
400,19687.33,7456.15,8.21,3.11,.12,.04
500,28020.93,10727.99,9.02,3.45,.11,.04
600,34840.87,13623.22,9.08,3.55,.09,.03
700,43995.73,17503.88,9.59,3.81,.08,.03
800,51556.19,20891.28,9.64,3.90,.08,.03
900,59138.85,23912.67,9.66,3.90,.07,.02
1000,69029.08,27523.92,10.00,3.98,.06,.02
1100,79685.20,32439.71,10.34,4.21,.06,.02
1200,87987.85,36127.90,10.34,4.24,.06,.02
1300,96497.79,39437.90,10.35,4.23,.05,.02
1400,108487.67,44380.39,10.70,4.37,.05,.02
1500,117451.29,48105.09,10.71,4.38,.05,.02
1600,128794.34,53669.18,10.92,4.55,.05,.02
1700,138821.54,57764.91,10.99,4.57,.04,.01
1800,147175.51,61590.31,10.91,4.56,.04,.01
1900,157373.42,65659.33,10.98,4.58,.04,.01
2000,166884.98,69584.05,10.97,4.57,.04,.01
2100,181147.52,75911.25,11.29,4.73,.04,.01
2200,191816.06,80418.25,11.33,4.75,.03,.01
2300,202000.06,84646.86,11.34,4.75,.03,.01
2400,213881.05,90912.48,11.45,4.86,.03,.01
2500,225063.42,95496.97,11.51,4.88,.03,.01
2600,234715.52,99558.68,11.48,4.87,.03,.01
2700,244614.07,104264.27,11.46,4.88,.03,.01
2800,257283.90,108887.33,11.58,4.90,.03,.01
2900,268083.04,113548.95,11.59,4.91,.03,.01
3000,277909.18,117809.98,11.57,4.90,.03,.01
3100,291078.99,123037.31,11.69,4.94,.03,.01
3200,306857.97,131064.48,11.88,5.07,.02,.01
3300,318482.01,135989.93,11.91,5.08,.02,.01
3400,329368.43,140606.34,11.91,5.08,.02,.01
3500,341017.31,145196.77,11.94,5.08,.02,.01
3600,353016.32,152331.00,11.98,5.17,.02,.01
3700,365276.98,157375.71,12.02,5.18,.02,.01
3800,376996.07,162482.24,12.03,5.18,.02,.01
3900,387046.27,166636.18,12.01,5.17,.02,.01
4000,397934.58,171215.69,12.00,5.16,.02,.01
4100,409475.43,176592.68,12.01,5.18,.02,.01
4200,424701.18,183083.40,12.12,5.22,.02,.01
4300,436047.96,187969.43,12.12,5.22,.02,.01
4400,448192.45,192989.37,12.15,5.23,.02,0
4500,459436.51,197758.67,12.13,5.22,.02,0
4600,471933.94,203105.56,12.17,5.23,.02,0
4700,489583.58,211325.55,12.32,5.32,.02,0
4800,503591.55,219049.19,12.38,5.38,.02,0
4900,516612.92,224371.75,12.41,5.39,.02,0
5000,529092.89,229746.43,12.43,5.39,.02,0
5100,541446.61,235105.34,12.44,5.40,.02,0
5200,553660.18,240139.47,12.45,5.40,.02,0
5300,565725.38,245825.03,12.45,5.41,.02,0
5400,577701.96,252837.31,12.45,5.45,.01,0
5500,591010.63,258580.72,12.48,5.46,.01,0
5600,603376.61,263890.87,12.48,5.46,.01,0
5700,615626.95,269150.71,12.50,5.46,.01,0
5800,627491.37,274089.82,12.49,5.45,.01,0
5900,638925.25,279074.10,12.47,5.44,.01,0
6000,651198.43,284580.63,12.48,5.45,.01,0
6100,663300.87,290485.88,12.48,5.46,.01,0
6200,680226.57,297258.39,12.56,5.49,.01,0
6300,698121.27,305081.52,12.67,5.54,.01,0
6400,708879.58,310448.21,12.64,5.53,.01,0
6500,722679.96,316173.30,12.67,5.54,.01,0
6600,734059.66,321319.91,12.65,5.53,.01,0
6700,747351.51,326962.68,12.67,5.54,.01,0
6800,761491.52,333041.26,12.69,5.55,.01,0
6900,774546.21,338737.58,12.71,5.55,.01,0
7000,790629.60,345447.35,12.76,5.57,.01,0
7100,808954.82,356126.24,12.85,5.66,.01,0
7200,822158.71,362851.61,12.85,5.67,.01,0
7300,836433.38,369271.81,12.88,5.69,.01,0
7400,849778.05,374709.36,12.90,5.68,.01,0
7500,863003.93,380780.58,12.89,5.69,.01,0
7600,875633.21,386004.72,12.90,5.68,.01,0
7700,887945.17,391567.17,12.89,5.68,.01,0
7800,902004.81,397207.24,12.90,5.68,.01,0
7900,914479.40,403275.84,12.90,5.69,.01,0
8000,928707.76,410347.93,12.92,5.71,.01,0
8100,940199.17,416675.92,12.91,5.72,.01,0
8200,955618.73,423580.42,12.93,5.73,.01,0
8300,970088.99,429888.14,12.95,5.74,.01,0
8400,983059.66,435332.32,12.96,5.73,.01,0
8500,996169.72,440874.51,12.96,5.73,.01,0
8600,1009015.53,446374.03,12.96,5.73,.01,0
8700,1022533.39,452410.00,12.95,5.73,.01,0
8800,1034515.39,457364.15,12.94,5.72,.01,0
8900,1046175.26,463014.64,12.93,5.72,.01,0
9000,1059845.41,469098.22,12.94,5.72,.01,0
9100,1072921.10,474614.15,12.94,5.72,.01,0
9200,1086431.21,481302.50,12.94,5.73,.01,0
9300,1108054.59,489861.91,13.04,5.76,.01,0
9400,1126723.12,499073.48,13.11,5.80,.01,0
9500,1142792.75,506970.53,13.14,5.83,.01,0
9600,1156190.72,513003.35,13.14,5.83,.01,0
9700,1170566.79,519611.78,13.15,5.84,.01,0
9800,1184165.55,525339.48,13.14,5.83,.01,0
9900,1198610.05,531632.49,13.15,5.83,.01,0
10000,1211977.35,537332.02,13.15,5.83,.01,0
