n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,1378.51,523.67,2.99,1.13,.13,.05
200,4060.02,1459.38,3.83,1.37,.10,.03
300,7288.62,2766.83,4.26,1.61,.08,.03
400,11734.69,4302.25,4.89,1.79,.07,.02
500,15993.31,6244.08,5.15,2.01,.06,.02
600,19782.31,7640.43,5.15,1.99,.05,.02
700,23427.29,9102.90,5.10,1.98,.04,.01
800,29788.66,11362.73,5.57,2.12,.04,.01
900,35807.38,14257.42,5.85,2.32,.04,.01
1000,41047.40,16281.68,5.94,2.35,.04,.01
1100,45543.25,17986.96,5.91,2.33,.03,.01
1200,49922.54,19740.29,5.86,2.32,.03,.01
1300,54691.83,21602.09,5.86,2.31,.03,.01
1400,59113.94,23389.09,5.83,2.30,.03,.01
1500,64996.68,25505.55,5.92,2.32,.02,.01
1600,73097.06,28610.91,6.19,2.42,.02,.01
1700,82113.52,33106.49,6.50,2.62,.02,.01
1800,87889.73,35460.04,6.51,2.63,.02,.01
1900,93567.65,37699.77,6.53,2.63,.02,.01
2000,98967.96,39898.97,6.51,2.62,.02,0
2100,104111.02,41925.31,6.48,2.61,.02,0
2200,110269.97,44212.69,6.51,2.61,.02,0
2300,115713.59,46596.55,6.50,2.61,.02,0
2400,121857.26,48915.49,6.52,2.61,.02,0
2500,127528.12,51231.85,6.52,2.62,.02,0
2600,133057.33,53519.66,6.51,2.61,.01,0
2700,138933.15,55555.20,6.51,2.60,.01,0
2800,144192.11,58097.27,6.49,2.61,.01,0
2900,150497.88,60129.08,6.51,2.60,.01,0
3000,156086.42,62401.95,6.50,2.60,.01,0
3100,161535.10,64866.33,6.48,2.60,.01,0
3200,174456.35,69605.96,6.75,2.69,.01,0
3300,187665.83,76844.15,7.02,2.87,.01,0
3400,194323.12,79602.12,7.02,2.87,.01,0
3500,200903.74,82308.09,7.03,2.88,.01,0
3600,207790.37,84958.03,7.05,2.88,.01,0
3700,213686.89,87568.23,7.03,2.88,.01,0
3800,221050.74,90353.81,7.05,2.88,.01,0
3900,227092.60,92947.21,7.04,2.88,.01,0
4000,234315.30,95943.66,7.06,2.89,.01,0
4100,240161.59,98029.57,7.04,2.87,.01,0
4200,246759.87,100900.44,7.04,2.88,.01,0
4300,252774.32,103606.72,7.03,2.88,.01,0
4400,259783.26,105887.98,7.04,2.87,.01,0
4500,265727.59,108612.94,7.02,2.86,.01,0
4600,272108.92,111268.34,7.01,2.86,.01,0
4700,279406.19,113987.77,7.03,2.87,.01,0
4800,286529.28,117008.90,7.04,2.87,.01,0
4900,292479.54,119554.86,7.03,2.87,.01,0
5000,299329.40,122336.20,7.03,2.87,.01,0
5100,306619.33,124870.97,7.04,2.87,.01,0
5200,312462.82,127570.56,7.02,2.86,.01,0
5300,319206.32,130246.25,7.02,2.86,.01,0
5400,326298.18,132786.93,7.03,2.86,.01,0
5500,333929.81,136147.57,7.05,2.87,.01,0
5600,339757.01,138511.48,7.03,2.86,.01,0
5700,346660.59,141103.25,7.03,2.86,.01,0
5800,353249.81,143656.05,7.03,2.86,.01,0
5900,359725.44,146876.47,7.02,2.86,.01,0
6000,367763.40,149499.81,7.05,2.86,.01,0
6100,373112.01,152076.08,7.02,2.86,.01,0
6200,379718.33,155028.90,7.01,2.86,0,0
6300,388698.23,158053.01,7.05,2.87,0,0
6400,406893.40,165500.97,7.25,2.95,0,0
6500,424466.83,174620.12,7.44,3.06,.01,0
6600,434734.86,180148.07,7.49,3.10,0,0
6700,442215.75,183599.11,7.50,3.11,0,0
6800,450251.20,187042.62,7.50,3.11,0,0
6900,459409.86,190148.37,7.54,3.12,0,0
7000,466577.16,193302.23,7.53,3.12,0,0
7100,472516.69,195863.22,7.51,3.11,0,0
7200,480859.51,199459.77,7.52,3.11,0,0
7300,486404.35,201722.90,7.49,3.10,0,0
7400,494988.74,205262.29,7.51,3.11,0,0
7500,503347.30,208130.63,7.52,3.11,0,0
7600,510080.12,211037.96,7.51,3.10,0,0
7700,518873.93,215219.36,7.53,3.12,0,0
7800,525450.08,217921.06,7.51,3.11,0,0
7900,532439.56,221057.59,7.51,3.11,0,0
8000,538434.79,223796.41,7.49,3.11,0,0
8100,548074.60,226724.90,7.52,3.11,0,0
8200,555467.88,229772.33,7.51,3.10,0,0
8300,561831.15,232478.80,7.50,3.10,0,0
8400,569456.86,236056.98,7.50,3.11,0,0
8500,576539.63,239323.34,7.50,3.11,0,0
8600,583897.81,241690.72,7.50,3.10,0,0
8700,591600.39,244861.07,7.49,3.10,0,0
8800,600487.00,248522.69,7.51,3.11,0,0
8900,607181.77,251080.40,7.50,3.10,0,0
9000,615367.76,254889.73,7.51,3.11,0,0
9100,622246.79,257458.05,7.50,3.10,0,0
9200,628745.93,260817.01,7.49,3.10,0,0
9300,637279.55,263636.72,7.50,3.10,0,0
9400,646402.58,266888.22,7.52,3.10,0,0
9500,653515.17,270060.88,7.51,3.10,0,0
9600,660008.02,273583.23,7.50,3.11,0,0
9700,667163.55,276505.11,7.50,3.10,0,0
9800,675363.74,279745.78,7.49,3.10,0,0
9900,682656.04,283289.74,7.49,3.11,0,0
10000,690861.54,286031.80,7.50,3.10,0,0
