n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,604.94,438.48,1.31,.95,.06,.04
200,1452.65,1099.21,1.37,1.03,.03,.02
300,2396.89,1833.98,1.40,1.07,.02,.02
400,3407.67,2612.09,1.42,1.09,.02,.01
500,4385.98,3457.42,1.41,1.11,.01,.01
600,5541.71,4303.49,1.44,1.12,.01,.01
700,6651.89,5138.60,1.45,1.12,.01,.01
800,7773.88,6071.41,1.45,1.13,.01,0
900,8926.03,7154.29,1.45,1.16,.01,0
1000,10172.72,7977.60,1.47,1.15,.01,0
1100,11341.54,9052.91,1.47,1.17,0,0
1200,12504.37,9983.34,1.46,1.17,0,0
1300,13708.98,10943.30,1.47,1.17,0,0
1400,14967.14,11825.14,1.47,1.16,0,0
1500,16326.94,12935.40,1.48,1.17,0,0
1600,17443.54,14218.39,1.47,1.20,0,0
1700,18789.45,15168.76,1.48,1.20,0,0
1800,20004.80,16003.99,1.48,1.18,0,0
1900,21286.22,17034.03,1.48,1.18,0,0
2000,22716.83,18243.02,1.49,1.20,0,0
2100,24167.44,19263.09,1.50,1.20,0,0
2200,25254.27,20548.95,1.49,1.21,0,0
2300,26738.24,21730.80,1.50,1.22,0,0
2400,28052.98,22557.50,1.50,1.20,0,0
2500,29341.88,23616.60,1.50,1.20,0,0
2600,30812.54,24738.30,1.50,1.21,0,0
2700,32029.94,25737.68,1.50,1.20,0,0
2800,33517.81,27085.73,1.50,1.21,0,0
2900,34964.40,28105.70,1.51,1.21,0,0
3000,36076.64,29386.27,1.50,1.22,0,0
3100,37550.68,30282.22,1.50,1.21,0,0
3200,38861.81,31367.97,1.50,1.21,0,0
3300,40371.22,32923.18,1.51,1.23,0,0
3400,42173.46,34012.67,1.52,1.23,0,0
3500,43289.58,34440.38,1.51,1.20,0,0
3600,44924.49,36164.91,1.52,1.22,0,0
3700,46183.71,37420.04,1.52,1.23,0,0
3800,47582.56,38486.63,1.51,1.22,0,0
3900,48946.32,38807.17,1.51,1.20,0,0
4000,50672.07,40834.28,1.52,1.23,0,0
4100,51473.66,41966.11,1.51,1.23,0,0
4200,53170.81,43101.99,1.51,1.23,0,0
4300,54825.17,44609.56,1.52,1.24,0,0
4400,56614.10,45399.30,1.53,1.23,0,0
4500,57851.37,47445.22,1.52,1.25,0,0
4600,58521.55,47883.34,1.50,1.23,0,0
4700,60546.93,48740.98,1.52,1.22,0,0
4800,62115.00,49835.68,1.52,1.22,0,0
4900,63764.20,51826.58,1.53,1.24,0,0
5000,64962.60,52765.66,1.52,1.24,0,0
5100,67253.10,53827.94,1.54,1.23,0,0
5200,67956.39,56130.85,1.52,1.26,0,0
5300,69838.71,57091.34,1.53,1.25,0,0
5400,71070.66,57563.69,1.53,1.24,0,0
5500,72423.27,59438.83,1.52,1.25,0,0
5600,74108.18,60640.11,1.53,1.25,0,0
5700,75748.91,61874.84,1.53,1.25,0,0
5800,77279.04,63678.26,1.53,1.26,0,0
5900,78099.07,63570.75,1.52,1.24,0,0
6000,80257.91,64657.67,1.53,1.24,0,0
6100,81336.79,66384.80,1.53,1.24,0,0
6200,82476.29,68371.82,1.52,1.26,0,0
6300,84189.94,68926.46,1.52,1.25,0,0
6400,85847.29,70037.55,1.53,1.24,0,0
6500,87598.86,71855.36,1.53,1.26,0,0
6600,89024.55,73094.29,1.53,1.25,0,0
6700,91077.78,73564.97,1.54,1.24,0,0
6800,92268.87,75273.77,1.53,1.25,0,0
6900,94188.50,75971.63,1.54,1.24,0,0
7000,95920.49,78343.29,1.54,1.26,0,0
7100,97424.78,79376.32,1.54,1.26,0,0
7200,99285.66,80413.14,1.55,1.25,0,0
7300,100235.71,82346.26,1.54,1.26,0,0
7400,101818.17,82082.88,1.54,1.24,0,0
7500,103219.00,83397.14,1.54,1.24,0,0
7600,105281.35,85349.83,1.55,1.25,0,0
7700,106615.05,87366.72,1.54,1.26,0,0
7800,107155.12,88679.01,1.53,1.26,0,0
7900,109237.11,88589.01,1.54,1.25,0,0
8000,111418.40,90661.71,1.55,1.26,0,0
8100,112151.78,92903.82,1.54,1.27,0,0
8200,114387.27,93029.65,1.54,1.25,0,0
8300,115541.58,93642.71,1.54,1.25,0,0
8400,116932.62,95070.12,1.54,1.25,0,0
8500,118935.48,97482.81,1.54,1.26,0,0
8600,120504.64,97753.61,1.54,1.25,0,0
8700,122165.55,100269.22,1.54,1.27,0,0
8800,123600.46,101373.30,1.54,1.26,0,0
8900,124587.02,102484.49,1.53,1.26,0,0
9000,125870.74,104160.51,1.53,1.27,0,0
9100,128169.26,105064.10,1.54,1.26,0,0
9200,130706.34,105911.17,1.55,1.26,0,0
9300,131459.28,108101.48,1.54,1.27,0,0
9400,132265.84,109172.50,1.53,1.27,0,0
9500,134049.23,111717.72,1.54,1.28,0,0
9600,136131.53,112594.77,1.54,1.28,0,0
9700,137686.87,111992.72,1.54,1.25,0,0
9800,138799.88,114822.54,1.54,1.27,0,0
9900,141742.52,116671.63,1.55,1.28,0,0
10000,142877.77,116523.35,1.55,1.26,0,0
