n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,3903.75,21.39,8.48,.04,.39,0
200,15651.59,42.77,14.79,.04,.39,0
300,35213.31,64.46,20.59,.03,.39,0
400,62995.82,85.20,26.29,.03,.39,0
500,98075.73,106.45,31.58,.03,.39,0
600,142070.44,126.30,37.05,.03,.39,0
700,192622.30,149.43,42.01,.03,.39,0
800,251475.43,170.73,47.05,.03,.39,0
900,318769.50,191.19,52.08,.03,.39,0
1000,393143.77,213.26,56.97,.03,.39,0
1100,475241.71,234.96,61.71,.03,.39,0
1200,565999.67,256.89,66.52,.03,.39,0
1300,664136.95,276.91,71.25,.02,.39,0
1400,771913.95,298.42,76.15,.02,.39,0
1500,883830.97,320.87,80.60,.02,.39,0
1600,1006344.40,341.32,85.34,.02,.39,0
1700,1140384.75,357.89,90.28,.02,.39,0
1800,1273739.39,383.24,94.47,.02,.39,0
1900,1415887.91,408.07,98.83,.02,.39,0
2000,1571633.28,426.92,103.39,.02,.39,0
2100,1731524.15,449.56,107.92,.02,.39,0
2200,1903334.90,468.40,112.50,.02,.39,0
2300,2082136.67,490.57,116.96,.02,.39,0
2400,2270554.65,508.03,121.60,.02,.39,0
2500,2459210.67,531.79,125.79,.02,.39,0
2600,2662641.79,550.19,130.29,.02,.39,0
2700,2869525.24,574.18,134.53,.02,.39,0
2800,3080219.96,597.73,138.72,.02,.39,0
2900,3305346.61,620.26,143.00,.02,.39,0
3000,3539061.62,640.27,147.46,.02,.39,0
3100,3779416.69,660.34,151.82,.02,.39,0
3200,4033522.69,681.11,156.19,.02,.39,0
3300,4279292.29,705.62,160.09,.02,.39,0
3400,4548992.53,721.76,164.56,.02,.39,0
3500,4822539.49,746.06,168.85,.02,.39,0
3600,5090121.74,767.43,172.85,.02,.39,0
3700,5384772.04,789.04,177.26,.02,.39,0
3800,5685649.45,807.92,181.58,.02,.39,0
3900,5986566.56,827.02,185.83,.02,.39,0
4000,6298617.81,853.10,189.94,.02,.39,0
4100,6612847.44,875.41,194.09,.02,.39,0
4200,6946086.94,892.18,198.30,.02,.39,0
4300,7265761.80,920.18,202.11,.02,.39,0
4400,7620623.98,936.88,206.67,.02,.39,0
4500,7969112.11,959.01,210.57,.02,.39,0
4600,8322032.62,979.60,214.60,.02,.39,0
4700,8685747.69,1001.79,218.70,.02,.39,0
4800,9064166.63,1020.61,222.94,.02,.39,0
4900,9440440.61,1044.09,226.92,.02,.39,0
5000,9837495.00,1062.98,231.19,.02,.39,0
5100,10233303.16,1087.31,235.23,.02,.39,0
5200,10633863.31,1108.60,239.17,.02,.39,0
5300,11055279.04,1129.27,243.39,.02,.39,0
5400,11477941.06,1149.61,247.44,.02,.39,0
5500,11903440.44,1170.26,251.36,.02,.39,0
5600,12327711.68,1196.68,255.08,.02,.39,0
5700,12786818.65,1214.47,259.64,.02,.39,0
5800,13240821.44,1230.73,263.61,.02,.39,0
5900,13687685.00,1262.07,267.27,.02,.39,0
6000,14168719.12,1278.16,271.74,.02,.39,0
6100,14634652.56,1299.61,275.44,.02,.39,0
6200,15130392.03,1316.85,279.54,.02,.39,0
6300,15595687.67,1344.88,283.23,.02,.39,0
6400,16118650.24,1364.31,287.50,.02,.39,0
6500,16633247.10,1381.48,291.78,.02,.39,0
6600,17132511.19,1404.95,295.31,.02,.39,0
6700,17656953.97,1428.91,299.47,.02,.39,0
6800,18186791.03,1449.90,303.23,.02,.39,0
6900,18738527.56,1466.67,307.55,.02,.39,0
7000,19295205.58,1487.91,311.46,.02,.39,0
7100,19829749.94,1515.90,315.22,.02,.39,0
7200,20402410.34,1532.15,319.10,.02,.39,0
7300,20960977.55,1555.06,322.98,.02,.39,0
7400,21527677.79,1578.59,326.87,.02,.39,0
7500,22135624.38,1593.27,330.87,.02,.39,0
7600,22726912.39,1616.31,334.86,.02,.39,0
7700,23347103.80,1636.40,339.16,.02,.39,0
7800,23935282.53,1662.84,342.48,.02,.39,0
7900,24573669.83,1680.16,346.77,.02,.39,0
8000,25213139.22,1697.73,350.96,.02,.39,0
8100,25840702.42,1720.27,354.86,.02,.39,0
8200,26452682.12,1747.70,358.03,.02,.39,0
8300,27090649.16,1772.84,361.85,.02,.39,0
8400,27772118.79,1788.14,366.13,.02,.39,0
8500,28429378.51,1811.12,369.98,.02,.39,0
8600,29130328.97,1829.79,374.28,.02,.39,0
8700,29782456.23,1853.54,377.42,.02,.39,0
8800,30479288.99,1871.42,381.44,.02,.39,0
8900,31172175.04,1892.48,385.31,.02,.39,0
9000,31852775.99,1919.25,388.92,.02,.39,0
9100,32559409.79,1938.28,392.75,.02,.39,0
9200,33315876.87,1957.18,397.07,.02,.39,0
9300,34046196.43,1977.94,400.97,.02,.39,0
9400,34758225.89,2002.04,404.56,.02,.39,0
9500,35494379.79,2024.63,408.33,.02,.39,0
9600,36245134.60,2046.15,412.17,.02,.39,0
9700,37043001.77,2065.75,416.45,.02,.39,0
9800,37782580.09,2088.23,419.51,.02,.39,0
9900,38557540.86,2109.96,423.33,.02,.39,0
10000,39331495.53,2129.76,427.05,.02,.39,0
