n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,642.48,282.42,1.39,.61,.06,.02
200,1559.65,671.15,1.47,.63,.03,.01
300,2558.12,1134.00,1.49,.66,.02,.01
400,3662.61,1671.94,1.52,.69,.02,.01
500,4798.81,2156.28,1.54,.69,.01,0
600,5926.30,2717.34,1.54,.70,.01,0
700,7266.84,3303.29,1.58,.72,.01,0
800,8517.68,3943.05,1.59,.73,.01,0
900,9649.95,4383.19,1.57,.71,.01,0
1000,10936.71,4968.10,1.58,.72,.01,0
1100,12295.25,5643.50,1.59,.73,.01,0
1200,13649.18,6281.97,1.60,.73,0,0
1300,14937.74,6832.73,1.60,.73,0,0
1400,16404.79,7520.80,1.61,.74,0,0
1500,17763.43,8312.35,1.62,.75,0,0
1600,19045.04,8726.35,1.61,.74,0,0
1700,20207.32,9444.39,1.59,.74,0,0
1800,21903.57,10250.26,1.62,.76,0,0
1900,23397.34,10757.22,1.63,.75,0,0
2000,24798.10,11437.51,1.63,.75,0,0
2100,26355.95,12334.51,1.64,.76,0,0
2200,27644.93,12857.46,1.63,.75,0,0
2300,29076.68,13378.80,1.63,.75,0,0
2400,30512.41,14160.51,1.63,.75,0,0
2500,32350.64,15015.17,1.65,.76,0,0
2600,33329.28,15336.45,1.63,.75,0,0
2700,34947.50,16152.64,1.63,.75,0,0
2800,36609.97,17013.97,1.64,.76,0,0
2900,37721.97,17609.08,1.63,.76,0,0
3000,39924.93,18509.25,1.66,.77,0,0
3100,41016.83,18996.44,1.64,.76,0,0
3200,42397.96,19755.17,1.64,.76,0,0
3300,44437.56,20502.58,1.66,.76,0,0
3400,45484.02,21122.65,1.64,.76,0,0
3500,46990.96,21965.76,1.64,.76,0,0
3600,48595.86,22736.30,1.65,.77,0,0
3700,50184.46,23428.90,1.65,.77,0,0
3800,51777.30,24109.81,1.65,.76,0,0
3900,53559.87,25084.02,1.66,.77,0,0
4000,55014.96,25509.13,1.65,.76,0,0
4100,56376.34,26441.23,1.65,.77,0,0
4200,58669.47,27379.54,1.67,.78,0,0
4300,59857.66,27503.22,1.66,.76,0,0
4400,61719.82,28844.69,1.67,.78,0,0
4500,63236.65,29613.30,1.67,.78,0,0
4600,64093.23,29791.99,1.65,.76,0,0
4700,65822.49,31225.00,1.65,.78,0,0
4800,67841.11,32107.87,1.66,.78,0,0
4900,69548.27,32469.47,1.67,.78,0,0
5000,71166.03,33539.94,1.67,.78,0,0
5100,72929.68,33874.18,1.67,.77,0,0
5200,74234.46,34511.41,1.66,.77,0,0
5300,75752.43,35130.18,1.66,.77,0,0
5400,77567.20,36164.57,1.67,.77,0,0
5500,79459.98,37094.97,1.67,.78,0,0
5600,80705.35,37628.18,1.66,.77,0,0
5700,82451.00,38769.80,1.67,.78,0,0
5800,83746.68,39111.47,1.66,.77,0,0
5900,85763.41,40070.85,1.67,.78,0,0
6000,87865.05,41052.92,1.68,.78,0,0
6100,89130.23,41953.15,1.67,.78,0,0
6200,90795.62,42302.82,1.67,.78,0,0
6300,92265.12,42454.25,1.67,.77,0,0
6400,93628.81,43473.55,1.67,.77,0,0
6500,96194.46,45132.17,1.68,.79,0,0
6600,96766.66,45314.08,1.66,.78,0,0
6700,98988.93,46290.47,1.67,.78,0,0
6800,100223.53,46939.47,1.67,.78,0,0
6900,102590.09,48041.87,1.68,.78,0,0
7000,104242.81,48722.60,1.68,.78,0,0
7100,105242.07,49212.09,1.67,.78,0,0
7200,107613.35,50582.27,1.68,.79,0,0
7300,108684.32,51624.78,1.67,.79,0,0
7400,110741.76,52245.40,1.68,.79,0,0
7500,112725.17,52989.65,1.68,.79,0,0
7600,114124.80,53764.10,1.68,.79,0,0
7700,116039.12,54716.11,1.68,.79,0,0
7800,118732.19,55742.80,1.69,.79,0,0
7900,119240.77,56102.53,1.68,.79,0,0
8000,121646.53,56709.97,1.69,.78,0,0
8100,123251.13,57503.28,1.69,.78,0,0
8200,125453.66,59440.06,1.69,.80,0,0
8300,126702.00,60060.39,1.69,.80,0,0
8400,128136.19,59290.34,1.68,.78,0,0
8500,129733.23,60923.08,1.68,.79,0,0
8600,131908.65,61758.68,1.69,.79,0,0
8700,132357.86,62055.90,1.67,.78,0,0
8800,134393.35,63087.52,1.68,.78,0,0
8900,135623.42,63906.62,1.67,.78,0,0
9000,138380.22,65774.18,1.68,.80,0,0
9100,140855.39,66268.10,1.69,.79,0,0
9200,140810.55,66406.35,1.67,.79,0,0
9300,143070.05,66682.38,1.68,.78,0,0
9400,145267.41,68755.31,1.69,.80,0,0
9500,146896.26,68792.27,1.68,.79,0,0
9600,148133.33,69841.22,1.68,.79,0,0
9700,150548.15,70975.74,1.69,.79,0,0
9800,151489.85,71359.57,1.68,.79,0,0
9900,155042.39,72896.78,1.70,.80,0,0
10000,155751.79,73236.80,1.69,.79,0,0
