n,c,s,c/(n*ln(n)),s/(n*ln(n)),c/(n*n),s/(n*n)
100,2443.88,44.91,5.31,.09,.24,0
200,7385.16,102.20,6.98,.09,.18,0
300,11923.11,173.36,6.97,.10,.13,0
400,17000.01,259.07,7.09,.10,.10,0
500,20074.17,381.75,6.46,.12,.08,0
600,27096.97,425.67,7.06,.11,.07,0
700,35156.40,480.55,7.66,.10,.07,0
800,39563.14,584.66,7.40,.10,.06,0
900,38935.39,775.76,6.36,.12,.04,0
1000,45931.73,864.93,6.65,.12,.04,0
1100,52069.50,841.32,6.76,.10,.04,0
1200,61142.43,970.96,7.18,.11,.04,0
1300,69178.32,997.36,7.42,.10,.04,0
1400,78489.25,1097.01,7.74,.10,.04,0
1500,86120.06,1050.55,7.85,.09,.03,0
1600,88289.58,1302.89,7.48,.11,.03,0
1700,80312.74,1559.64,6.35,.12,.02,0
1800,88560.72,1712.76,6.56,.12,.02,0
1900,93139.01,1669.00,6.50,.11,.02,0
2000,103806.05,1900.72,6.82,.12,.02,0
2100,109975.87,1803.80,6.85,.11,.02,0
2200,117020.55,1854.53,6.91,.10,.02,0
2300,125365.41,1961.94,7.04,.11,.02,0
2400,136143.96,2115.74,7.29,.11,.02,0
2500,143358.43,2047.92,7.33,.10,.02,0
2600,153860.60,2177.28,7.52,.10,.02,0
2700,159269.10,2093.20,7.46,.09,.02,0
2800,173072.55,2372.89,7.79,.10,.02,0
2900,181828.91,2320.93,7.86,.10,.02,0
3000,190566.33,2333.62,7.94,.09,.02,0
3100,199889.80,2354.95,8.02,.09,.02,0
3200,196122.91,2793.32,7.59,.10,.01,0
3300,173301.91,3234.30,6.48,.12,.01,0
3400,180488.18,3330.95,6.52,.12,.01,0
3500,182923.85,3237.52,6.40,.11,.01,0
3600,198330.78,3648.29,6.73,.12,.01,0
3700,203181.03,3520.59,6.68,.11,.01,0
3800,207730.34,3504.48,6.63,.11,.01,0
3900,218764.41,3803.57,6.79,.11,.01,0
4000,231158.86,4029.46,6.97,.12,.01,0
4100,231068.07,3498.15,6.78,.10,.01,0
4200,245638.83,3876.56,7.01,.11,.01,0
4300,246657.74,3706.75,6.86,.10,.01,0
4400,260062.73,3959.82,7.05,.10,.01,0
4500,270856.69,4124.60,7.15,.10,.01,0
4600,278199.68,4162.53,7.17,.10,.01,0
4700,283234.67,4109.42,7.13,.10,.01,0
4800,300330.00,4473.40,7.38,.11,.01,0
4900,306812.00,4397.48,7.37,.10,.01,0
5000,317032.18,4425.69,7.45,.10,.01,0
5100,318141.73,4149.71,7.31,.09,.01,0
5200,338792.00,4657.69,7.62,.10,.01,0
5300,343266.59,4410.09,7.55,.09,.01,0
5400,349379.76,4427.74,7.53,.09,.01,0
5500,364436.50,4858.00,7.69,.10,.01,0
5600,379471.11,5047.41,7.85,.10,.01,0
5700,380606.81,4564.43,7.72,.09,.01,0
5800,398192.35,4945.75,7.92,.09,.01,0
5900,398771.92,4759.57,7.78,.09,.01,0
6000,416933.35,4989.91,7.99,.09,.01,0
6100,428387.08,4923.24,8.06,.09,.01,0
6200,437180.46,5044.01,8.07,.09,.01,0
6300,436208.21,4874.26,7.92,.08,.01,0
6400,430018.49,5869.14,7.67,.10,.01,0
6500,397394.53,6454.49,6.97,.11,0,0
6600,386322.01,6794.10,6.65,.11,0,0
6700,382092.46,6620.02,6.48,.11,0,0
6800,401154.94,6986.52,6.68,.11,0,0
6900,400815.72,6579.39,6.57,.10,0,0
7000,407971.19,6831.00,6.58,.11,0,0
7100,423285.53,7327.57,6.72,.11,0,0
7200,439702.87,7646.32,6.87,.11,0,0
7300,432034.74,6882.63,6.65,.10,0,0
7400,450776.82,7380.99,6.84,.11,0,0
7500,443850.18,7048.81,6.63,.10,0,0
7600,459892.27,7313.95,6.77,.10,0,0
7700,478011.68,7871.48,6.94,.11,0,0
7800,482805.38,7926.92,6.90,.11,0,0
7900,486370.58,7906.74,6.86,.11,0,0
8000,509828.63,8422.14,7.09,.11,0,0
8100,506903.22,7759.44,6.96,.10,0,0
