n,cmp,ptr,h,mcmp,mptr,mh
10000,9996.58,12505.5,10000,19677,20002,10000
10000,9998.96,12506.7,10000,19875,20002,10000
10000,9997,12505.8,10000,19663,20002,10000
10000,9978.13,12496.3,10000,19701,20002,10000
10000,10017.9,12516.2,10000,19603,20002,10000
10000,10025.8,12520.1,10000,19523,20002,10000
10000,9990.56,12502.5,10000,19793,20002,10000
10000,9994.78,12504.6,10000,19989,20002,10000
10000,10045.1,12529.8,10000,19811,20002,10000
10000,10027.7,12521.1,10000,19663,20002,10000
10000,10006.7,12510.6,10000,19751,20002,10000
10000,10038.6,12526.5,10000,19487,20002,10000
10000,9994.43,12504.5,10000,19905,20002,10000
10000,9966.98,12490.7,10000,19717,20002,10000
10000,10045.7,12530.1,10000,19847,20002,10000
10000,10032.8,12523.6,10000,19655,20002,10000
10000,10003.1,12508.8,10000,19831,20002,10000
10000,9974.25,12494.4,10000,19729,20002,10000
10000,9981.14,12497.8,10000,19859,20002,10000
10000,9997.63,12506.1,10000,19959,20002,10000
10000,9990.73,12502.6,10000,19957,20002,10000
20000,20004.2,25009.4,20000,39537,40002,20000
20000,19977.5,24996,20000,39459,40002,20000
20000,19963.7,24989.1,20000,39951,40002,20000
20000,19944.6,24979.5,20000,39871,40002,20000
20000,19980.6,24997.6,20000,39599,40002,20000
20000,20017.6,25016.1,20000,39579,40002,20000
20000,20082.2,25048.3,20000,39817,40002,20000
20000,20021,25017.8,20000,39533,40002,20000
20000,19996.5,25005.5,20000,39601,40002,20000
20000,20011.3,25012.9,20000,39613,40002,20000
20000,19998.1,25006.3,20000,39621,40002,20000
20000,19996.8,25005.7,20000,39751,40002,20000
20000,20034.8,25024.7,20000,39577,40002,20000
20000,20023.4,25018.9,20000,39255,40002,20000
20000,19961.1,24987.8,20000,39779,40002,20000
20000,20042.1,25028.3,20000,39491,40002,20000
20000,19926.9,24970.7,20000,39579,40002,20000
20000,20024.2,25019.4,20000,39843,40002,20000
20000,20038.8,25026.7,20000,39909,40002,20000
20000,20075.5,25045,20000,39255,40002,20000
20000,20071.4,25042.9,20000,39741,40002,20000
30000,30150.4,37582.4,30000,59949,60002,30000
30000,29988.1,37501.3,30000,59315,60002,30000
30000,30053.2,37533.8,30000,59909,60002,30000
30000,30003.1,37508.8,30000,59733,60002,30000
30000,30058,37536.2,30000,59557,60002,30000
30000,30139.7,37577.1,30000,59849,60002,30000
30000,30005.1,37509.8,30000,59665,60002,30000
30000,29958.1,37486.3,30000,59297,60002,30000
30000,30024.1,37519.3,30000,59573,60002,30000
30000,29935.1,37474.8,30000,59875,60002,30000
30000,29994.9,37504.7,30000,59447,60002,30000
30000,30166.8,37590.7,30000,59265,60002,30000
30000,29957,37485.7,30000,59811,60002,30000
30000,29926.2,37470.3,30000,59751,60002,30000
30000,29993.5,37504,30000,59399,60002,30000
30000,30016.8,37515.6,30000,59697,60002,30000
30000,30058.9,37536.7,30000,59629,60002,30000
30000,29963.8,37489.1,30000,59513,60002,30000
30000,29993.5,37504,30000,59809,60002,30000
30000,30026.1,37520.3,30000,59019,60002,30000
30000,29952.9,37483.7,30000,59487,60002,30000
40000,40713.3,49418.3,40000,77597,80002,40000
40000,40903.4,50109.9,40000,77906,80002,40000
40000,39016.7,50670.5,40000,78797,80002,40000
40000,39532.1,50316.0,40000,78071,80002,40000
40000,39549.5,49414.6,40000,78793,80002,40000
40000,39220.3,49899.0,40000,78274,80002,40000
40000,39596.8,49148.3,40000,79434,80002,40000
40000,39628.4,49544.3,40000,77056,80002,40000
40000,39012.4,49944.8,40000,77219,80002,40000
40000,40118.8,50041.8,40000,78546,80002,40000
40000,39709.3,50883.3,40000,77530,80002,40000
40000,40025.8,50574.6,40000,78199,80002,40000
40000,39777.5,50787.8,40000,79770,80002,40000
40000,39350.2,49914.4,40000,77303,80002,40000
40000,39689.6,49858.4,40000,77776,80002,40000
40000,40336.2,50975.9,40000,77820,80002,40000
40000,40726.3,49967.4,40000,79315,80002,40000
40000,40903.7,49822.0,40000,78315,80002,40000
40000,39273.3,49494.4,40000,78320,80002,40000
40000,39955.9,50897.7,40000,78238,80002,40000
50000,49731.3,61294.8,50000,98129,100002,50000
50000,50987.7,61372.7,50000,96460,100002,50000
50000,51084.2,61722.8,50000,97202,100002,50000
50000,51241.9,63519.9,50000,99572,100002,50000
50000,51148.0,61867.7,50000,96253,100002,50000
50000,51043.7,62225.0,50000,97128,100002,50000
50000,48799.3,63702.1,50000,98321,100002,50000
50000,48916.7,63667.8,50000,99116,100002,50000
50000,49890.0,63378.7,50000,96934,100002,50000
50000,49524.5,63392.4,50000,97133,100002,50000
50000,51201.6,63592.6,50000,98537,100002,50000
50000,49085.5,63539.6,50000,99588,100002,50000
50000,49199.2,62558.2,50000,96948,100002,50000
50000,49637.0,63296.2,50000,99831,100002,50000
50000,50317.8,62598.1,50000,97920,100002,50000
50000,48988.3,62890.1,50000,97262,100002,50000
50000,50576.6,61717.6,50000,97858,100002,50000
50000,49125.7,63349.1,50000,96812,100002,50000
50000,50982.7,61812.8,50000,96709,100002,50000
50000,49234.3,62347.9,50000,96668,100002,50000
60000,59667.1,73556.0,60000,116624,120002,60000
60000,58893.2,75107.3,60000,115995,120002,60000
60000,59585.2,76484.5,60000,119622,120002,60000
60000,60858.3,74115.3,60000,118789,120002,60000
60000,61102.0,75020.4,60000,119739,120002,60000
60000,60588.3,75714.7,60000,119030,120002,60000
60000,59400.9,75999.4,60000,116820,120002,60000
60000,59628.1,73682.5,60000,116766,120002,60000
60000,61062.1,73632.7,60000,116677,120002,60000
60000,59817.2,74049.1,60000,115685,120002,60000
60000,61073.2,74776.3,60000,118362,120002,60000
60000,60971.2,74059.1,60000,117807,120002,60000
60000,58935.2,76327.9,60000,118277,120002,60000
60000,60243.1,74712.4,60000,117095,120002,60000
60000,58555.4,75908.3,60000,119768,120002,60000
60000,60659.3,73952.1,60000,117952,120002,60000
60000,60652.0,74055.6,60000,115656,120002,60000
60000,60486.3,75570.2,60000,119884,120002,60000
60000,60832.8,75203.7,60000,119827,120002,60000
60000,58780.1,75933.0,60000,118470,120002,60000
70000,71357.7,88679.2,70000,138105,140002,70000
70000,71644.0,87359.4,70000,139358,140002,70000
70000,70191.9,88962.8,70000,137794,140002,70000
70000,70318.8,86814.9,70000,136867,140002,70000
70000,69407.6,87788.3,70000,135983,140002,70000
70000,69565.3,87279.6,70000,138242,140002,70000
70000,69916.1,86526.2,70000,139485,140002,70000
70000,70334.3,88903.8,70000,138727,140002,70000
70000,68472.0,88968.9,70000,137955,140002,70000
70000,70672.3,86931.7,70000,136228,140002,70000
70000,71409.2,87135.5,70000,136253,140002,70000
70000,69924.1,88130.1,70000,135503,140002,70000
70000,68331.0,88633.0,70000,135862,140002,70000
70000,70785.5,87437.2,70000,138340,140002,70000
70000,68475.5,87698.1,70000,135540,140002,70000
70000,70152.5,86377.5,70000,137381,140002,70000
70000,69279.0,86348.5,70000,139205,140002,70000
70000,69444.2,86766.3,70000,139406,140002,70000
70000,68575.7,87765.8,70000,139309,140002,70000
70000,71161.7,88890.9,70000,138573,140002,70000
80000,81106.6,98738.7,80000,159626,160002,80000
80000,78554.8,98425.9,80000,157810,160002,80000
80000,79164.0,100182.3,80000,158705,160002,80000
80000,81356.6,100217.8,80000,154825,160002,80000
80000,79279.7,100385.2,80000,155014,160002,80000
80000,79767.1,100266.2,80000,156012,160002,80000
80000,79130.3,98947.2,80000,157563,160002,80000
80000,78503.5,100111.2,80000,157445,160002,80000
80000,79055.4,98374.9,80000,154834,160002,80000
80000,80712.9,99694.7,80000,159986,160002,80000
80000,80786.1,100473.1,80000,157534,160002,80000
80000,80502.2,98963.9,80000,155557,160002,80000
80000,79168.8,101563.3,80000,157295,160002,80000
80000,81727.5,100590.7,80000,157715,160002,80000
80000,78570.5,99725.8,80000,156952,160002,80000
80000,81318.7,98458.8,80000,156015,160002,80000
80000,80575.9,101315.1,80000,157019,160002,80000
80000,79226.8,100108.0,80000,159563,160002,80000
80000,80121.5,99839.0,80000,157651,160002,80000
80000,78440.0,101258.2,80000,156478,160002,80000
90000,88305.5,112883.2,90000,176278,180002,90000
90000,89378.5,113537.5,90000,179136,180002,90000
90000,91794.8,110638.8,90000,179901,180002,90000
90000,91910.9,113250.0,90000,174431,180002,90000
90000,88202.4,110872.3,90000,177265,180002,90000
90000,88531.9,114339.1,90000,174360,180002,90000
90000,90061.2,113809.1,90000,177724,180002,90000
90000,88303.5,112868.3,90000,178454,180002,90000
90000,88606.8,113338.5,90000,174172,180002,90000
90000,89346.7,111781.3,90000,173864,180002,90000
90000,91503.5,111624.8,90000,174518,180002,90000
90000,88808.5,113964.0,90000,173542,180002,90000
90000,91334.6,113553.8,90000,178317,180002,90000
90000,89815.5,110396.6,90000,175966,180002,90000
90000,90611.9,112294.0,90000,177235,180002,90000
90000,90380.9,110970.8,90000,174238,180002,90000
90000,91235.5,113974.1,90000,176827,180002,90000
90000,88255.0,111314.4,90000,174481,180002,90000
90000,88538.4,113161.8,90000,177631,180002,90000
90000,90884.0,112581.6,90000,174331,180002,90000
100000,101365.8,127092.9,100000,198780,200002,100000
100000,99803.7,124899.4,100000,194141,200002,100000
100000,100328.5,123921.2,100000,196818,200002,100000
100000,99014.2,126020.0,100000,192822,200002,100000
100000,101017.5,124475.6,100000,198733,200002,100000
100000,102392.1,124801.7,100000,196204,200002,100000
100000,100191.8,124170.9,100000,199152,200002,100000
100000,100597.4,124702.4,100000,198457,200002,100000
100000,99269.2,125831.3,100000,196320,200002,100000
100000,98719.2,124543.4,100000,198339,200002,100000
100000,100244.5,126041.7,100000,193418,200002,100000
100000,97664.8,126220.9,100000,199615,200002,100000
100000,102270.1,127118.3,100000,194292,200002,100000
100000,98548.9,126657.9,100000,198118,200002,100000
100000,99947.8,124275.2,100000,197454,200002,100000
100000,100364.1,126152.2,100000,195413,200002,100000
100000,98207.3,122638.3,100000,196745,200002,100000
100000,100154.9,124158.0,100000,194688,200002,100000
100000,100637.1,124863.3,100000,199871,200002,100000
100000,100438.9,126639.7,100000,198000,200002,100000
