n,cmp,ptr,h,mcmp,mptr,mh
10000,41.0378,50.3292,48.6131,53,58,28
10000,44.9437,54.3167,54.4364,59,64,31
10000,44.3393,53.7715,54.7483,59,68,33
10000,44.8521,54.2427,55.7568,61,66,32
10000,43.4797,52.835,51.5954,57,60,29
10000,42.9027,52.358,54.1824,57,66,32
10000,44.6054,53.9148,57.6531,59,68,33
10000,43.928,53.2841,52.4134,57,60,29
10000,44.9545,54.3912,54.4974,57,64,31
10000,42.4024,51.8788,52.865,53,62,30
10000,46.0431,55.4523,57.3088,61,68,33
10000,42.7336,52.1694,52.9877,57,66,32
10000,44.5428,53.9883,55.4134,59,66,32
10000,43.6458,53.0321,55.1688,59,66,32
10000,48.1827,57.5878,58.6459,63,66,32
10000,43.7371,53.0957,56.7984,63,66,32
10000,41.21,50.6142,51.4504,55,60,29
10000,44.0807,53.3932,50.7262,57,60,29
10000,42.1725,51.5597,48.629,53,58,28
10000,42.8173,52.197,50.1343,57,62,30
10000,43.3418,52.7502,54.1775,61,66,32
20000,48.6545,58.0812,59.9733,63,70,34
20000,49.6831,59.081,71.9164,75,82,40
20000,48.0051,57.4104,61.4032,65,70,34
20000,47.9686,57.3807,60.2622,65,70,34
20000,47.8123,57.2693,59.9596,65,68,33
20000,45.2261,54.6248,57.9823,61,66,32
20000,46.3086,55.7194,56.1768,61,66,32
20000,47.4962,56.979,56.3614,59,66,32
20000,45.2939,54.716,52.4808,55,62,30
20000,49.1561,58.5425,58.2782,65,70,34
20000,50.2324,59.6048,70.3284,73,84,41
20000,46.2433,55.5937,55.8819,61,64,31
20000,48.8292,58.2412,60.0375,65,70,34
20000,48.0204,57.515,62.9189,67,72,35
20000,47.19,56.6035,58.7248,67,72,35
20000,49.9113,59.3306,60.4269,65,70,34
20000,47.076,56.5301,56.8454,61,68,33
20000,45.4455,54.8432,56.629,63,68,33
20000,46.6301,56.1239,55.7216,59,66,32
20000,46.6591,56.0573,54.3236,57,64,31
20000,46.3965,55.7728,60.5736,63,70,34
30000,48.9093,58.2527,60.1595,65,72,35
30000,48.5933,57.9887,61.2622,67,72,35
30000,51.9366,61.3557,63.1893,69,74,36
30000,55.8549,65.2866,66.9066,69,76,37
30000,52.0214,61.5046,65.9115,71,78,38
30000,48.8415,58.2454,61.7286,65,70,34
30000,48.739,58.1424,58.1444,63,68,33
30000,51.9212,61.3942,71.8652,79,84,41
30000,49.7456,59.1165,62.7328,67,72,35
30000,51.1737,60.5698,72.4803,75,82,40
30000,52.8848,62.2896,68.6604,69,80,39
30000,48.3609,57.7612,58.3787,61,66,32
30000,50.2928,59.7344,63.0064,65,72,35
30000,50.3889,59.7791,63.0439,67,72,35
30000,51.4299,60.8627,59.9055,63,70,34
30000,52.0791,61.4762,66.6585,73,78,38
