n,cmp,ptr,h,mcmp,mptr,mh
10000,13.3,16.2,11.2,25,28,22
10000,12.7,16.0,16.6,25,28,22
10000,13.2,16.2,13.0,25,28,22
10000,13.2,16.4,15.5,25,28,22
10000,12.9,15.9,12.9,25,28,22
10000,12.8,15.9,12.9,25,28,22
10000,12.8,16.6,15.3,25,28,22
10000,12.7,16.4,11.8,25,28,22
10000,13.1,16.5,12.0,25,28,22
10000,12.8,16.4,16.5,25,28,22
10000,13.2,16.2,14.3,25,28,22
10000,12.8,16.5,12.1,25,28,22
10000,13.2,16.1,12.1,25,28,22
10000,12.7,16.3,13.8,25,28,22
10000,12.8,16.4,15.9,25,28,22
10000,12.9,16.5,13.0,25,28,22
10000,13.1,16.5,12.6,25,28,22
10000,13.2,16.2,14.3,25,28,22
10000,12.7,16.5,14.3,25,28,22
10000,12.8,16.2,16.0,25,28,22
20000,13.7,17.3,18.8,27,30,28
20000,14.2,17.8,20.8,27,30,28
20000,13.8,17.5,18.6,27,30,28
20000,14.1,17.2,21.4,27,30,28
20000,13.7,17.2,20.8,27,30,28
20000,13.8,17.5,18.2,27,30,28
20000,13.8,17.3,14.9,27,30,28
20000,13.7,17.2,21.3,27,30,28
20000,14.3,17.4,20.6,27,30,28
20000,14.0,17.6,21.4,27,30,28
20000,14.1,17.7,15.1,26,30,28
20000,13.8,17.6,20.7,27,30,28
20000,13.7,17.8,21.5,27,30,28
20000,14.1,17.2,18.5,27,30,28
20000,13.8,17.6,17.5,27,30,28
20000,13.9,17.2,18.0,27,30,28
20000,14.0,17.3,20.5,27,30,28
20000,14.1,17.6,14.6,27,30,28
20000,13.7,17.5,19.1,27,30,28
20000,14.1,17.5,20.5,27,30,28
30000,14.1,17.6,15.3,27,30,24
30000,13.9,17.5,13.0,27,30,24
30000,13.9,17.5,16.3,27,30,24
30000,14.3,17.5,12.5,27,30,24
30000,14.2,17.4,15.8,27,30,24
30000,13.8,17.5,12.6,27,30,24
30000,14.1,17.5,12.7,27,30,24
30000,13.7,17.3,15.4,27,30,24
30000,13.7,17.7,13.9,27,30,24
30000,14.3,17.6,18.1,27,30,24
30000,13.8,17.6,12.9,27,30,24
30000,13.8,17.7,12.8,27,30,24
30000,14.3,17.3,15.4,27,30,24
30000,14.0,17.4,13.2,27,30,24
30000,14.1,17.7,14.0,27,30,24
30000,14.1,17.8,17.5,27,30,24
30000,14.2,17.2,18.0,27,30,24
30000,14.2,17.8,16.2,27,30,24
30000,14.2,17.8,15.3,27,30,24
30000,14.0,17.6,13.3,26,30,24
40000,14.8,18.6,8.8,29,32,16
40000,15.4,18.6,11.9,29,32,16
40000,14.8,18.7,11.1,29,32,16
40000,15.1,18.6,9.0,29,32,16
40000,15.2,19.1,9.7,29,32,16
40000,15.1,18.9,10.4,29,32,16
40000,15.1,19.1,8.5,29,32,16
40000,14.7,18.6,9.1,29,32,16
40000,15.1,19.1,9.1,29,32,16
40000,15.0,18.6,11.2,28,32,16
40000,14.7,19.1,9.5,29,32,16
40000,14.9,18.6,8.7,29,32,16
40000,15.1,18.9,10.4,29,32,16
40000,14.9,19.0,10.0,29,32,16
40000,14.8,18.9,10.0,28,32,16
40000,15.0,18.7,8.9,29,32,16
40000,15.4,18.4,11.1,29,32,16
40000,15.2,18.9,11.0,29,32,16
40000,15.3,18.8,8.7,29,32,16
40000,14.8,18.6,10.8,29,32,16
50000,15.2,18.7,11.2,29,32,17
50000,15.1,18.6,12.6,29,32,17
50000,15.2,18.4,11.4,29,32,17
50000,14.6,18.9,9.8,29,32,17
50000,14.9,18.6,12.7,29,32,17
50000,14.8,18.7,12.3,29,32,17
50000,14.8,19.1,10.1,29,32,17
50000,14.7,18.6,12.3,29,32,17
50000,14.7,18.8,10.1,29,32,17
50000,15.0,19.1,12.4,29,32,17
50000,15.0,18.8,11.7,29,32,17
50000,14.9,18.8,10.5,29,32,17
50000,15.3,18.9,9.9,29,32,17
50000,15.0,18.6,12.3,29,32,17
50000,14.7,19.1,12.1,29,32,17
50000,15.2,18.7,13.0,29,32,17
50000,14.7,18.4,12.8,29,32,17
50000,14.9,19.1,9.2,29,32,17
50000,15.4,18.7,10.0,29,32,17
50000,14.8,18.8,10.3,29,32,17
60000,15.3,19.1,20.6,29,32,28
60000,15.2,19.0,17.1,29,32,28
60000,15.0,19.1,20.9,29,32,28
60000,15.2,18.5,18.8,29,32,28
60000,15.2,18.6,14.9,29,32,28
60000,14.8,18.8,14.6,29,32,28
60000,15.2,19.0,14.6,29,32,28
60000,14.8,18.7,20.4,29,32,28
60000,15.1,19.0,15.7,29,32,28
60000,15.4,19.1,17.8,29,32,28
60000,15.2,18.5,16.4,28,32,28
60000,14.9,18.7,19.0,29,32,28
60000,14.7,18.6,16.8,29,32,28
60000,15.0,18.8,15.5,29,32,28
60000,15.0,18.6,18.5,29,32,28
60000,14.8,18.8,21.1,29,32,28
60000,15.1,19.1,17.2,29,32,28
60000,15.4,18.9,14.5,29,32,28
60000,15.0,18.6,18.4,29,32,28
60000,14.8,18.4,20.1,29,32,28
70000,16.2,20.3,19.9,31,34,32
70000,15.7,19.8,21.8,31,34,32
70000,15.8,20.1,23.2,31,34,32
70000,15.8,20.2,16.5,31,34,32
70000,15.9,20.2,21.4,31,34,32
70000,15.9,20.0,18.3,31,34,32
70000,16.2,19.7,22.6,31,34,32
70000,15.6,19.8,21.4,31,34,32
70000,16.1,20.0,23.7,31,34,32
70000,16.0,20.4,19.1,31,34,32
70000,16.0,20.0,20.2,31,34,32
70000,16.3,19.9,18.5,31,34,32
70000,15.9,19.9,17.1,31,34,32
70000,15.9,20.3,18.1,31,34,32
70000,16.3,19.9,24.1,31,34,32
70000,15.8,20.2,23.7,31,34,32
70000,16.3,20.1,22.0,31,34,32
70000,15.8,19.9,21.9,30,34,32
70000,16.2,19.8,21.7,31,34,32
70000,15.9,19.8,23.0,31,34,32
80000,15.6,20.3,12.9,31,34,19
80000,16.1,19.6,12.1,31,34,19
80000,15.9,20.1,12.3,31,34,19
80000,16.0,19.7,10.6,31,34,19
80000,15.7,19.8,10.2,31,34,19
80000,15.7,19.7,12.6,30,34,19
80000,16.3,19.6,11.0,31,34,19
80000,15.7,20.1,14.4,31,34,19
80000,15.8,19.6,11.2,31,34,19
80000,16.0,20.2,11.0,31,34,19
80000,16.3,20.0,10.8,30,34,19
80000,15.9,19.9,11.8,31,34,19
80000,15.7,20.4,14.3,31,34,19
80000,15.6,19.6,13.1,31,34,19
80000,16.2,19.9,11.0,30,34,19
80000,15.8,19.7,10.3,31,34,19
80000,16.2,20.3,10.4,31,34,19
80000,16.1,20.2,13.1,31,34,19
80000,16.0,20.1,13.9,31,34,19
80000,16.1,19.7,11.2,31,34,19
90000,16.3,20.0,11.9,31,34,23
90000,15.6,19.6,15.3,31,34,23
90000,15.7,20.2,13.5,31,34,23
90000,16.3,19.6,13.8,31,34,23
90000,16.3,19.8,17.4,31,34,23
90000,15.7,20.0,14.4,31,34,23
90000,15.9,19.8,13.6,31,34,23
90000,16.0,19.7,15.9,31,34,23
90000,15.7,20.1,14.5,31,34,23
90000,16.1,20.2,13.6,31,34,23
90000,15.8,20.0,15.4,31,34,23
90000,16.3,19.6,14.2,31,34,23
90000,15.7,20.1,16.9,31,34,23
90000,15.6,19.9,15.1,31,34,23
90000,16.1,19.7,12.1,31,34,23
90000,15.7,20.1,15.2,31,34,23
90000,15.7,20.0,12.2,31,34,23
90000,15.8,19.9,12.7,30,34,23
90000,16.1,20.0,17.0,30,34,23
90000,15.6,20.0,12.3,31,34,23
100000,16.0,20.0,12.6,31,34,18
100000,15.7,20.1,11.1,31,34,18
100000,15.7,20.3,12.4,31,34,18
100000,15.8,19.8,11.6,31,34,18
100000,16.3,19.7,13.5,31,34,18
100000,16.2,19.8,13.2,31,34,18
100000,16.3,19.9,12.1,31,34,18
100000,16.2,19.8,11.8,31,34,18
100000,15.9,20.0,12.8,31,34,18
100000,16.1,19.6,11.3,30,34,18
100000,15.6,20.2,9.7,31,34,18
100000,16.1,20.4,9.1,31,34,18
100000,16.1,20.0,11.7,31,34,18
100000,15.7,19.8,9.3,31,34,18
100000,15.6,20.1,10.6,31,34,18
100000,15.9,20.4,11.9,31,34,18
100000,15.7,20.0,11.6,31,34,18
100000,15.7,20.1,13.0,31,34,18
100000,15.8,20.2,10.5,31,34,18
100000,16.0,19.9,10.5,31,34,18
