n,cmp,ptr,h,mcmp,mptr,mh
10000,11.3,14.8,11.9,23,24,22
10000,11.1,14.5,15.8,24,24,22
10000,11.1,14.4,14.2,24,24,22
10000,11.4,14.6,14.5,24,24,22
10000,11.2,14.5,12.1,23,24,22
10000,11.2,14.5,14.8,24,24,22
10000,11.4,14.8,16.0,24,24,22
10000,11.4,14.7,14.3,24,24,22
10000,11.6,14.7,14.5,24,24,22
10000,11.2,14.6,15.6,24,24,22
10000,11.7,14.8,13.5,24,24,22
10000,11.3,14.5,14.7,24,24,22
10000,11.2,14.5,15.0,23,24,22
10000,11.3,14.3,15.6,24,24,22
10000,11.2,14.5,15.0,23,24,22
10000,11.1,14.8,12.7,24,24,22
10000,11.5,14.8,11.9,23,24,22
10000,11.3,14.6,15.3,24,24,22
10000,11.7,14.8,15.1,23,24,22
10000,11.2,14.7,16.7,23,24,22
20000,12.2,15.5,11.7,26,26,19
20000,12.3,16.0,13.1,25,26,19
20000,12.4,16.1,12.2,25,26,19
20000,12.3,15.8,13.8,26,26,19
20000,12.0,15.4,13.0,26,26,19
20000,12.5,16.0,12.1,26,26,19
20000,12.4,16.0,10.8,26,26,19
20000,12.0,16.0,12.2,26,26,19
20000,12.2,15.6,11.9,25,26,19
20000,12.4,15.8,12.2,26,26,19
20000,12.1,15.4,13.7,26,26,19
20000,12.1,15.9,12.9,25,26,19
20000,12.5,15.7,12.1,25,26,19
20000,12.3,15.5,13.2,26,26,19
20000,12.1,15.8,12.0,26,26,19
20000,12.5,15.5,10.0,25,26,19
20000,12.4,15.9,10.3,26,26,19
20000,12.6,15.6,13.6,25,26,19
20000,12.5,16.0,11.2,26,26,19
20000,12.0,16.0,14.0,26,26,19
30000,11.9,15.8,11.0,25,26,15
30000,12.4,15.8,9.2,26,26,15
30000,12.5,15.6,8.6,26,26,15
30000,12.5,15.5,9.3,26,26,15
30000,11.9,15.7,7.6,25,26,15
30000,12.0,15.9,9.4,26,26,15
30000,12.6,16.1,10.4,25,26,15
30000,12.2,15.8,9.2,25,26,15
30000,12.1,15.7,9.7,25,26,15
30000,12.6,15.5,10.2,25,26,15
30000,12.6,15.7,9.9,26,26,15
30000,12.3,16.0,8.0,26,26,15
30000,12.2,15.4,9.9,25,26,15
30000,12.5,16.0,9.8,26,26,15
30000,12.3,16.0,10.5,25,26,15
30000,12.0,15.7,11.2,25,26,15
30000,12.3,16.1,8.9,25,26,15
30000,12.0,15.8,9.3,26,26,15
30000,12.5,16.0,10.8,25,26,15
30000,12.6,15.7,9.0,26,26,15
40000,12.9,16.8,8.9,27,28,16
40000,13.0,16.9,9.6,28,28,16
40000,13.0,17.0,8.7,28,28,16
40000,13.0,16.5,12.2,28,28,16
40000,13.3,16.6,9.4,28,28,16
40000,13.4,16.8,11.5,27,28,16
40000,13.3,17.1,11.0,27,28,16
40000,13.0,17.1,11.5,28,28,16
40000,13.4,16.7,11.3,27,28,16
40000,12.8,16.9,8.6,27,28,16
40000,12.8,17.2,11.7,28,28,16
40000,13.1,16.7,8.9,27,28,16
40000,13.3,17.2,9.3,28,28,16
40000,12.8,16.6,10.7,27,28,16
40000,13.4,16.7,9.3,28,28,16
40000,13.4,16.8,9.3,28,28,16
40000,13.5,17.1,10.1,27,28,16
40000,13.2,16.8,8.9,27,28,16
40000,12.9,16.9,10.4,27,28,16
40000,13.5,17.2,8.7,28,28,16
50000,13.1,16.7,11.5,27,28,16
50000,13.2,16.6,10.0,28,28,16
50000,13.2,16.9,11.6,28,28,16
50000,12.8,16.7,10.5,27,28,16
50000,13.2,16.7,8.9,28,28,16
50000,13.3,16.8,10.6,27,28,16
50000,13.0,17.0,11.9,28,28,16
50000,13.0,17.2,8.9,28,28,16
50000,13.3,16.9,9.2,27,28,16
50000,12.9,16.5,11.6,28,28,16
50000,13.0,16.8,8.6,28,28,16
50000,13.2,16.6,10.4,27,28,16
50000,13.2,16.9,8.4,27,28,16
50000,13.4,17.2,9.3,27,28,16
50000,13.5,16.9,9.2,27,28,16
50000,13.5,16.8,9.0,27,28,16
50000,13.1,17.2,8.5,28,28,16
50000,13.2,16.6,11.3,28,28,16
50000,13.1,17.0,11.1,28,28,16
50000,13.2,16.9,8.9,28,28,16
60000,13.3,16.8,8.8,27,28,17
60000,13.4,16.7,9.8,28,28,17
60000,13.1,17.2,11.6,28,28,17
60000,13.4,17.1,12.5,27,28,17
60000,13.1,16.8,12.9,27,28,17
60000,13.0,17.0,11.2,28,28,17
60000,12.8,16.7,12.6,27,28,17
60000,13.5,16.5,12.1,28,28,17
60000,12.9,16.9,12.2,27,28,17
60000,13.1,17.1,9.7,27,28,17
60000,12.8,16.6,13.0,27,28,17
60000,13.0,16.9,11.6,27,28,17
60000,13.1,16.6,13.0,27,28,17
60000,13.3,16.5,12.3,28,28,17
60000,13.4,16.7,11.5,28,28,17
60000,12.8,17.0,10.3,28,28,17
60000,12.9,17.0,9.1,27,28,17
60000,13.4,17.1,9.1,28,28,17
60000,13.2,17.2,12.7,27,28,17
60000,13.2,16.8,10.4,28,28,17
70000,14.1,17.8,10.2,29,29,18
70000,13.8,17.7,10.2,30,29,18
70000,13.7,18.0,10.2,30,29,18
70000,14.4,17.7,11.7,30,29,18
70000,13.9,17.6,11.0,29,29,18
70000,13.9,18.1,10.7,30,29,18
70000,13.8,18.2,9.6,30,29,18
70000,13.6,18.2,11.6,30,29,18
70000,13.6,18.2,13.0,30,29,18
70000,13.8,18.2,9.5,29,29,18
70000,13.6,18.3,10.1,29,29,18
70000,14.0,17.9,13.6,30,29,18
70000,14.2,17.7,10.1,29,29,18
70000,13.8,18.0,11.6,29,29,18
70000,13.8,18.3,11.6,30,29,18
70000,14.3,18.1,11.3,29,29,18
70000,13.7,18.4,13.3,29,29,18
70000,14.0,18.3,9.4,28,29,18
70000,13.8,18.3,9.2,30,29,18
70000,13.7,18.0,13.4,29,29,18
80000,13.9,18.1,13.6,29,29,19
80000,14.3,18.2,10.4,29,29,19
80000,13.9,18.3,12.3,28,29,19
80000,13.6,17.7,10.6,30,29,19
80000,13.8,18.3,12.5,29,29,19
80000,13.9,17.8,14.1,29,29,19
80000,14.4,18.1,12.4,29,29,19
80000,14.2,18.3,9.7,30,29,19
80000,14.3,18.1,10.7,29,29,19
80000,13.7,18.1,11.8,29,29,19
80000,13.6,18.3,12.8,29,29,19
80000,14.2,17.7,12.7,29,29,19
80000,13.7,18.0,14.2,28,29,19
80000,13.7,17.8,9.8,30,29,19
80000,14.1,17.9,10.6,29,29,19
80000,14.2,17.9,12.7,29,29,19
80000,14.3,18.3,9.7,29,29,19
80000,13.8,17.9,10.0,29,29,19
80000,13.6,18.0,13.1,28,29,19
80000,14.1,18.1,14.0,29,29,19
90000,14.0,18.3,13.3,29,29,25
90000,14.2,18.2,16.2,29,29,25
90000,14.3,17.6,16.3,30,29,25
90000,13.9,18.0,12.7,29,29,25
90000,13.7,18.0,13.2,30,29,25
90000,14.1,17.9,16.2,29,29,25
90000,14.4,18.2,17.1,28,29,25
90000,13.7,18.3,17.0,30,29,25
90000,14.1,17.7,13.5,29,29,25
90000,14.4,18.0,16.1,29,29,25
90000,14.3,17.8,17.8,30,29,25
90000,13.7,17.8,14.5,29,29,25
90000,13.9,17.9,13.5,30,29,25
90000,13.7,17.9,14.3,29,29,25
90000,14.3,18.3,15.2,30,29,25
90000,14.3,18.0,18.7,30,29,25
90000,13.9,18.2,13.8,30,29,25
90000,14.2,18.4,18.4,30,29,25
90000,14.1,17.7,14.1,29,29,25
90000,14.1,18.3,17.7,29,29,25
100000,14.2,17.7,17.3,29,29,24
100000,13.6,17.7,15.8,30,29,24
100000,13.6,17.7,15.4,30,29,24
100000,13.7,18.1,17.4,30,29,24
100000,14.1,18.0,13.2,29,29,24
100000,13.8,17.8,15.3,29,29,24
100000,14.1,17.9,17.1,29,29,24
100000,13.7,17.8,17.3,30,29,24
100000,13.7,17.9,15.2,30,29,24
100000,14.2,17.7,13.1,30,29,24
100000,14.3,18.4,15.6,29,29,24
100000,14.4,17.9,12.5,29,29,24
100000,14.3,18.3,13.9,30,29,24
100000,14.0,18.0,13.4,29,29,24
100000,14.2,18.1,14.9,30,29,24
