n,cmp,ptr,h,mcmp,mptr,mh
10000,35.4936,146.027,37.466,14321,57283,3581
10000,35.5198,146.132,33.4779,18243,72972,4562
10000,35.5924,146.45,33.6004,15763,63052,3942
10000,35.5856,146.395,34.6758,16277,65107,4070
10000,35.6284,146.587,31.9271,16153,64611,4040
10000,35.4526,145.84,35.6706,8471,33884,8271
10000,35.707,146.91,33.5977,13311,53244,3346
10000,35.5048,146.061,34.2998,10537,42147,8231
10000,35.4128,145.686,33.6173,12851,51404,3575
10000,35.3984,145.606,40.1163,10905,43619,8730
10000,35.4504,145.859,37.4065,8903,35612,5550
10000,35.4926,145.984,34.8943,7209,28835,6397
10000,35.4938,146.022,36.6008,6761,27043,6818
10000,35.575,146.383,35.7914,15559,62236,3891
10000,35.612,146.489,35.5661,6503,26012,7337
10000,35.3596,145.479,39.0911,6701,26803,9194
10000,35.388,145.604,36.2977,10387,41549,7237
10000,35.6324,146.544,34.702,8621,34483,5690
10000,35.4368,145.76,35.1487,8345,33379,9017
10000,35.606,146.465,36.1593,14141,56563,3536
10000,35.4648,145.872,36.7254,13559,54236,3391
20000,38.6394,159.182,35.0713,33743,134972,8437
20000,38.6016,159.027,36.7832,20019,80076,9992
20000,38.5689,158.889,37.3317,38065,152259,9517
20000,38.56,158.887,38.6485,26253,105011,6874
20000,38.4378,158.376,41.7371,13661,54643,13172
20000,38.5589,158.866,41.1031,28661,114643,18729
20000,38.5084,158.65,38.7057,24517,98067,16774
20000,38.5451,158.831,35.8592,34891,139564,8724
20000,38.406,158.26,39.5812,32393,129571,8099
20000,38.5309,158.735,36.4804,16517,66067,12784
20000,38.5191,158.679,36.333,31139,124556,7788
20000,38.4237,158.336,41.2535,11245,44979,14378
20000,38.5242,158.694,37.2922,25415,101660,7295
20000,38.5817,158.965,39.8743,38721,154883,9681
20000,38.6537,159.238,38.9442,22035,88140,8985
20000,38.5675,158.89,38.8518,27581,110323,6896
20000,38.4945,158.625,37.4974,24303,97212,17857
20000,38.4546,158.449,39.6792,25619,102476,18120
20000,38.5601,158.886,35.8343,23053,92211,8475
20000,38.3966,158.188,40.2506,11047,44188,18980
20000,38.5523,158.839,37.757,24147,96588,7931
30000,40.2235,165.87,41.3974,43539,174156,10886
30000,40.1669,165.617,41.7782,28505,114019,24734
30000,40.1871,165.69,46.3322,28681,114723,28187
30000,40.2188,165.842,41.8112,19293,77172,22834
30000,40.1837,165.705,44.268,36213,144851,24995
30000,40.271,166.037,41.6758,24163,96652,22959
30000,40.2595,166,42.1687,35645,142579,29805
30000,40.3114,166.186,38.4916,48113,192451,24120
30000,40.2607,166.012,39.5571,53771,215084,13444
30000,40.2062,165.778,42.5832,25783,103132,17111
30000,40.3166,166.23,42.78,50377,201507,12595
30000,40.308,166.179,40.9593,31781,127123,14110
30000,40.2821,166.083,42.2856,41727,166908,27915
30000,40.1975,165.722,47.1239,20419,81676,28233
30000,40.2789,166.079,42.8979,35773,143091,12114
30000,40.2065,165.757,48.809,31217,124867,14392
30000,40.4295,166.733,37.8737,59381,237523,14846
30000,40.1694,165.647,44.4878,26067,104268,16967
30000,40.1945,165.747,46.2125,29353,117411,15324
30000,40.2884,166.124,43.6583,41007,164028,22826
30000,40.2521,165.973,44.9638,53261,213043,13316
40000,41.4906,171.154,44.3985,45553,182211,17225
40000,41.4835,171.119,56.6976,33263,133052,23369
40000,41.4662,171.051,42.8872,39719,158876,27396
40000,41.4578,171.01,42.7503,41437,165747,31406
40000,41.4861,171.122,41.4733,41631,166524,19185
40000,41.5411,171.381,40.9275,54725,218899,28478
40000,41.4627,171.026,43.7601,38507,154028,20747
40000,41.5056,171.238,40.8058,69429,277715,17358
40000,41.429,170.911,44.0821,28201,112803,31422
40000,41.4423,170.966,42.3234,36237,144947,21882
40000,41.5495,171.411,43.2676,44613,178451,17694
40000,41.4502,171.014,42.9288,39521,158084,28433
40000,41.4679,171.068,41.5551,36371,145484,21815
40000,41.3927,170.742,48.2513,29531,118124,25235
40000,41.463,171.053,48.9699,41585,166339,19211
40000,41.5424,171.394,39.1202,58079,232316,14521
40000,41.4921,171.18,41.7284,74079,296316,18521
50000,42.5217,175.503,38.8358,99849,399395,24963
50000,42.5196,175.469,45.096,55469,221875,22267
