n,cmp,ptr,h,mcmp,mptr,mh
10000,46.44,249.106,28.8741,69,295,45
10000,46.3756,248.041,28.4794,73,314,43
10000,46.4456,247.973,28.1732,65,316,45
10000,46.3288,245.206,28.1888,65,313,43
10000,46.378,247.411,28.6475,68,307,44
10000,46.2087,242.639,28.1998,69,322,43
10000,46.3727,247.248,28.5555,61,315,44
10000,46.3576,248.217,28.1802,67,322,42
10000,46.3893,248.531,28.5634,67,334,43
10000,46.1686,244.188,28.1988,75,310,45
10000,46.4065,248.275,27.9661,69,322,40
10000,46.4955,251.648,28.2664,65,325,42
10000,46.3691,247.345,28.46,79,324,41
10000,46.2683,247.686,28.3088,75,313,42
10000,46.5695,250.921,28.1348,69,298,42
10000,46.337,247.674,28.386,73,333,43
10000,46.2978,247.797,28.1181,67,289,41
10000,46.4275,245.819,28.4706,69,304,44
10000,46.2418,246.806,28.5622,65,305,44
10000,46.4883,249.562,28.6235,73,307,46
10000,46.3669,248.832,28.5554,69,331,42
20000,50.6688,269.203,31.1719,71,333,46
20000,50.808,272.723,31.3328,69,332,45
20000,50.698,270.384,31.273,75,324,46
20000,50.6079,270.087,31.2288,73,331,45
20000,50.8302,273.056,31.3575,79,330,45
20000,50.7825,272.668,31.2605,71,360,45
20000,50.7433,272.109,31.6629,77,349,48
20000,50.6344,269.998,31.4714,77,334,49
20000,50.7748,271.845,31.2111,81,367,45
20000,50.797,271.945,31.2572,73,333,46
20000,50.7615,270.877,31.1474,72,323,48
20000,50.8204,272.604,31.2685,70,369,49
20000,50.8083,272.855,31.4846,77,333,47
20000,50.6068,269.694,31.3182,71,350,47
20000,50.6377,269.633,31.426,76,343,47
20000,50.6925,270.935,31.4672,77,341,47
20000,50.8728,274.017,31.6193,71,360,48
20000,50.7151,272.172,31.134,73,359,47
20000,50.7094,271.295,31.4597,75,350,46
20000,50.7831,273.217,31.4938,75,342,46
20000,50.6437,269.061,31.164,71,341,45
30000,53.0743,278.284,32.9897,79,360,51
30000,53.3096,284.446,33.1831,73,360,46
30000,53.2656,285.051,32.9741,79,351,48
30000,53.2964,286.408,33.059,79,360,49
30000,53.2373,284.152,33.097,75,350,53
30000,53.2995,285.114,33.0586,77,359,48
30000,53.352,286.897,32.9517,73,370,48
30000,53.333,285.443,33.2745,83,370,48
30000,53.3081,286.779,33.1871,77,343,51
30000,53.218,281.961,33.0539,79,387,50
30000,53.1791,282.906,33.2091,77,370,52
30000,53.3342,286.508,33.1143,81,370,49
30000,53.2554,283.472,33.0954,80,359,50
30000,53.3923,286.175,33.2929,73,352,51
30000,53.2728,285.749,33.2691,75,394,50
30000,53.2873,286.436,33.1439,77,359,51
30000,53.2123,282.769,33.1083,74,360,48
30000,53.1935,283.813,32.981,75,359,48
30000,53.2155,285.245,33.2786,75,361,52
30000,53.1888,282.743,33.2061,80,396,49
30000,53.2797,284.799,33.0415,79,359,50
40000,55.0933,295.534,34.6856,91,388,52
40000,55.0298,294.879,34.2804,77,370,51
40000,55.0666,294.771,34.4633,79,375,50
40000,55.0154,293.241,34.3462,73,378,50
40000,55.1721,297.043,34.4966,77,387,50
40000,55.1838,296.656,34.2849,80,370,49
40000,55.0621,294.953,34.4917,87,378,53
40000,55.1809,297.584,34.4529,81,377,52
40000,54.9595,287.016,34.0767,81,370,50
40000,55.0528,293.692,34.32,77,388,54
40000,55.0922,294.385,34.2679,79,379,50
40000,55.0638,294.099,34.2686,83,378,53
40000,55.0942,296.173,34.5086,79,388,50
40000,55.1651,296.321,34.3493,79,406,50
